https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
魚正,豊橋市大橋通一丁目４２番地,愛知県,豊橋市大橋通１丁目４２番地,,52-5605,そうざい製造業,鈴木　淳一,,,,2021/6/22,2021/6/22,豊橋市指令3豊保生第135－1号,,246,魚正,0532,0532-52-5605,,,,愛知県　豊橋市大橋通１丁目４２番地,愛知県豊橋市大橋通１丁目４２番地,,117702,23,23201,大橋通１,,2021/06/22,2021/06/22,,,,鈴木　淳一 ,,,,,,,,,豊橋市指令3豊保生第135－1号,,そうざい製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,魚正0532-52-560511770223201,00246_195e04d4-c504-4ac1-8076-6161cbfbc43b,,personal,6ecb1201-19e2-487f-bed7-233518edc80b,2021/06/22,魚正,魚正,
串カツの中村屋３号店,豊橋市花田一番町１８８番地,愛知県,豊橋市花田一番町１８８番地,,33-1190,飲食店営業(一般食堂・レストラン等),株式会社　ＴＮ　ＦＡＭＩＬＩＡ,代表取締役,中村　剛,75-2702,2015/9/11,2015/9/11,豊橋市指令27豊保生第101－151号,,246,串カツの中村屋３号店,0532,0532-33-1190,,,,愛知県　豊橋市花田一番町１８８番地,愛知県豊橋市花田一番町１８８番地,,117853,23,23201,花田一番町,,2015/09/11,2015/09/11,,,株式会社　ＴＮ　ＦＡＭＩＬＩＡ,中村　剛,0532-75-2702,,,,,,,,豊橋市指令27豊保生第101－151号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,串カツの中村屋３号店0532-33-119011785323201,980e7bf6-61c7-47b3-9a18-8bf2df6c7422,株式会社ＴＮ　ＦＡＭＩＬＩＡ,098e108d-28cb-4b68-b818-71ca2520be96,24628794-3b5c-4df9-841a-f90db32c3fa7,2015/09/11,串カツの中村屋３号店,串カツの中村屋３号店,株式会社ＴＮ　ＦＡＭＩＬＩＡ
憩屋,豊橋市下五井町捨田３２番地６,愛知県,豊橋市下五井町捨田３２番地６,,,飲食店営業(一般食堂・レストラン等),有限会社　ＲＵＮ＆ＲＵＮ,代表取締役,柵木　通保,74-5050,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－41号,,246,憩屋,0532,,,,,愛知県　豊橋市下五井町捨田３２番地６,愛知県豊橋市下五井町捨田３２番地６,,117755,23,23201,下五井町,,2021/05/31,2021/05/31,,,有限会社　ＲＵＮ＆ＲＵＮ,柵木　通保,0532-74-5050,,,,,,,,豊橋市指令3豊保生第711－41号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,憩屋11775523201,79f2d4aa-b4b1-4627-9b09-8d23612e741c,有限会社ＲＵＮ＆ＲＵＮ,e202af50-a2ae-4fe4-aad8-51578213b00c,ef134b8f-efe9-4cef-a8b6-a00439cb3acf,2021/05/31,憩屋,憩屋,有限会社ＲＵＮ＆ＲＵＮ
自家焙煎珈琲　凡々豆,豊橋市駒形町字下田９３番地１,愛知県,豊橋市駒形町字下田９３番地１,,,飲食店営業(一般食堂・レストラン等),戸田　ひとみ,,,,2021/12/27,2021/12/27,豊橋市指令3豊保生第111－399号,,246,自家焙煎珈琲　凡々豆,0532,,,,,愛知県　豊橋市駒形町字下田９３番地１,愛知県豊橋市駒形町字下田９３番地１,,117736,23,23201,駒形町,,2021/12/27,2021/12/27,,,,戸田　ひとみ ,,,,,,,,,豊橋市指令3豊保生第111－399号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,自家焙煎珈琲凡豆11773623201,e19c7a78-3051-4f6f-b9c6-7117eba24dda,,personal,3ad1cea5-7593-4906-b1d6-02cdea6abac8,2021/12/27,自家焙煎珈琲　凡々豆,自家焙煎珈琲凡豆,
小料理Ｂａｒぬー,豊橋市松葉町一丁目９３番地,愛知県,豊橋市松葉町１丁目９３番地,,56-3078,飲食店営業(その他),株式会社バング,代表取締役,富田　有紀,47-5833,2021/3/26,2021/3/26,豊橋市指令2豊保生第101－314号,,246,小料理Ｂａｒぬー,0532,0532-56-3078,,,,愛知県　豊橋市松葉町１丁目９３番地,愛知県豊橋市松葉町１丁目９３番地,,117909,23,23201,松葉町１,,2021/03/26,2021/03/26,,,株式会社バング,富田　有紀,0532-47-5833,,,,,,,,豊橋市指令2豊保生第101－314号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,小料理Ｂａｒぬ0532-56-307811790923201,6455f88b-f736-4e74-9b6b-d4e73fe5ab6a,株式会社バング,af96cf45-5e7e-4956-b59b-5ada3376748a,05f6fc4c-02b4-4fee-b306-39a9eb0bddf1,2021/03/26,小料理Ｂａｒぬー,小料理Ｂａｒぬ,株式会社バング
焼肉　虎屋,豊橋市西幸町字笠松４番地４,愛知県,豊橋市西幸町字笠松４番地４,,,飲食店営業(一般食堂・レストラン等),株式会社　飛雄馬,代表取締役,鈴木　幸代,26-8897,2021/5/28,2021/5/28,豊橋市指令3豊保生第711－49号,,246,焼肉　虎屋,0532,,,,,愛知県　豊橋市西幸町字笠松４番地４,愛知県豊橋市西幸町字笠松４番地４,,117829,23,23201,西幸町,,2021/05/28,2021/05/28,,,株式会社　飛雄馬,鈴木　幸代,0532-26-8897,,,,,,,,豊橋市指令3豊保生第711－49号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,焼肉虎屋11782923201,8c38d6bf-097a-459c-a5ca-e80e180a8a60,株式会社飛雄馬,9e9f3abe-8eee-4562-81d7-a712423d3ec8,caddff03-2848-4a70-8b0e-fc73059812d7,2021/05/28,焼肉　虎屋,焼肉虎屋,株式会社飛雄馬
新天地,豊橋市駅前大通一丁目１１４番地（１０２）下,愛知県,豊橋市駅前大通１丁目１１４番地,（１０２）下,,飲食店営業(一般食堂・レストラン等),株式会社　好一鮮,代表取締役,　静,75-7416,2018/6/8,2018/6/8,豊橋市指令30豊保生第101－64号,,246,新天地,0532,,,,,愛知県　豊橋市駅前大通１丁目１１４番地,愛知県豊橋市駅前大通１丁目１１４番地,（１０２）下,117690,23,23201,駅前大通１,,2018/06/08,2018/06/08,,,株式会社　好一鮮,　静,0532-75-7416,,,,,,,,豊橋市指令30豊保生第101－64号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,新天地11769023201,747d0aa6-bc4f-46e6-8900-3eb7dae43eb8,株式会社好一鮮,07246ab9-8b03-4bc6-9d1f-d44fef87133c,1d3350b6-e4ae-450c-8498-15995094648f,2018/06/08,新天地,新天地,株式会社好一鮮
雪の結晶,豊橋市駅前大通二丁目７１番地先,愛知県,豊橋市駅前大通２丁目７１番地先,,,飲食店営業(一般食堂・レストラン等),矢吹　康子,,,,2021/6/23,2021/6/23,豊橋市指令3豊保生第111－15号,,246,雪の結晶,0532,,,,,愛知県　豊橋市駅前大通２丁目７１番地先,愛知県豊橋市駅前大通２丁目７１番地先,,117691,23,23201,駅前大通２,,2021/06/23,2021/06/23,,,,矢吹　康子 ,,,,,,,,,豊橋市指令3豊保生第111－15号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,雪の結晶11769123201,8b9252f0-a497-4ea8-aee0-e3febe8a02c5,,personal,09a8c30b-0c8e-4412-b5fa-19612159b428,2021/06/23,雪の結晶,雪の結晶,
千賀製菓株式会社　セイルライスセンター,豊橋市神野新田町字カノ割６８番地,愛知県,豊橋市神野新田町字カノ割６８番地,,35-7555,飲食店営業(集団給食施設),千賀製菓株式会社,代表取締役,千賀　教祥,53-5161,2021/3/12,2021/3/12,豊橋市指令2豊保生第101－305号,,246,千賀製菓株式会社　セイルライスセンター,0532,0532-35-7555,,,,愛知県　豊橋市神野新田町字カノ割６８番地,愛知県豊橋市神野新田町字カノ割６８番地,,117770,23,23201,神野新田町,,2021/03/12,2021/03/12,,,千賀製菓株式会社,千賀　教祥,0532-53-5161,,,,,,,,豊橋市指令2豊保生第101－305号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,千賀製菓株式会社セイルライスセンタ0532-35-755511777023201,4f8002b4-658b-4b0a-ba87-b97f83b9945f,千賀製菓株式会社,edf2b955-d99b-4e63-a67a-d6cc06b93e0b,0931f2ff-8321-42c4-b0f0-9fcb72cf3e9d,2021/03/12,千賀製菓株式会社セイルライスセンター,千賀製菓株式会社セイルライスセンタ,千賀製菓株式会社
全鴨宴　北京焼鴨専門店,豊橋市駅前大通一丁目９２番地  葉山ビル１階,愛知県,豊橋市駅前大通１丁目９２番地, 葉山ビル１階,,飲食店営業(一般食堂・レストラン等),刘　偉,,,,2021/6/9,2021/6/9,豊橋市指令3豊保生第111－3号,,246,全鴨宴　北京焼鴨専門店,0532,,,,,愛知県　豊橋市駅前大通１丁目９２番地,愛知県豊橋市駅前大通１丁目９２番地, 葉山ビル１階,117690,23,23201,駅前大通１,,2021/06/09,2021/06/09,,,,刘　偉 ,,,,,,,,,豊橋市指令3豊保生第111－3号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,全鴨宴北京焼鴨専門店11769023201,c5bc9f5a-f307-4f22-8664-3548629ee4cc,,personal,89152a21-3d14-4b3f-b658-2545159e183d,2021/06/09,全鴨宴　北京焼鴨専門店,全鴨宴北京焼鴨専門店,
台湾菜館新栄酒場,豊橋市新栄町字南小向９４番地１２,愛知県,豊橋市新栄町字南小向９４番地１２,,,飲食店営業(一般食堂・レストラン等),武田　敬子,,,,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－51号,,246,台湾菜館新栄酒場,0532,,,,,愛知県　豊橋市新栄町字南小向９４番地１２,愛知県豊橋市新栄町字南小向９４番地１２,,117766,23,23201,新栄町,,2021/05/31,2021/05/31,,,,武田　敬子 ,,,,,,,,,豊橋市指令3豊保生第711－51号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,台湾菜館新栄酒場11776623201,1a2d2fc2-3df7-4863-800c-68426c06ce30,,personal,7ea307f8-3202-4199-944e-28c0ee74ee9f,2021/05/31,台湾菜館新栄酒場,台湾菜館新栄酒場,
大東園豊橋曙店,豊橋市曙町字南松原８番地１,愛知県,豊橋市曙町字南松原８番地１,,47-1501,飲食店営業(一般食堂・レストラン等),株式会社　甲羅,代表取締役,鈴木　雅貴,32-8880,2018/3/26,2018/3/26,豊橋市指令29豊保生第101－327号,,246,大東園豊橋曙店,0532,0532-47-1501,,,,愛知県　豊橋市曙町字南松原８番地１,愛知県豊橋市曙町字南松原８番地１,,117652,23,23201,曙町,,2018/03/26,2018/03/26,,,株式会社　甲羅,鈴木　雅貴,0532-32-8880,,,,,,,,豊橋市指令29豊保生第101－327号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,大東園豊橋曙店0532-47-150111765223201,f181b231-34c0-4d76-ac50-bbd5063b5dfc,株式会社甲羅,397411cf-2102-4eac-ba3f-575e4bb33b92,c8cbb547-5a6f-4afa-8699-52650b1b26b0,2018/03/26,大東園豊橋曙店,大東園豊橋曙店,株式会社甲羅
大東園豊橋曙店,豊橋市曙町字南松原８番地１,愛知県,豊橋市曙町字南松原８番地１,,47-1501,食肉販売業(一般),株式会社　甲羅,代表取締役,鈴木　雅貴,32-8880,2020/5/19,2020/5/19,豊橋市指令2豊保生第121－17号,,246,大東園豊橋曙店,0532,0532-47-1501,,,,愛知県　豊橋市曙町字南松原８番地１,愛知県豊橋市曙町字南松原８番地１,,117652,23,23201,曙町,,2020/05/19,2020/05/19,,,株式会社　甲羅,鈴木　雅貴,0532-32-8880,,,,,,,,豊橋市指令2豊保生第121－17号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,大東園豊橋曙店0532-47-150111765223201,f181b231-34c0-4d76-ac50-bbd5063b5dfc,株式会社甲羅,397411cf-2102-4eac-ba3f-575e4bb33b92,b3e1a37e-6820-48ed-81da-1483d13e61f8,2020/05/19,大東園豊橋曙店,大東園豊橋曙店,株式会社甲羅
中国料理　彩華,豊橋市中野町字野中２５番地１,愛知県,豊橋市中野町字野中２５番地１,,48-0553,飲食店営業(一般食堂・レストラン等),辻　信也,,,,2021/6/8,2021/6/8,豊橋市指令3豊保生第111－5号,,246,中国料理　彩華,0532,0532-48-0553,,,,愛知県　豊橋市中野町字野中２５番地１,愛知県豊橋市中野町字野中２５番地１,,117805,23,23201,中野町,,2021/06/08,2021/06/08,,,,辻　信也 ,,,,,,,,,豊橋市指令3豊保生第111－5号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,中国料理彩華0532-48-055311780523201,00246_5370b5a3-1424-4dd2-8ca4-682db9d72d40,,personal,475a0044-6121-4abb-95bd-f764ab3d8fba,2021/06/08,中国料理　彩華,中国料理彩華,
東洋製罐㈱豊橋工場内　東京割烹㈱,豊橋市明海町３番地の６０  東洋製罐㈱豊橋工場内,愛知県,豊橋市明海町３番地の６０,東洋製罐㈱豊橋工場内,23-5661,飲食店営業(集団給食施設),東京割烹株式会社,代表取締役,水津　高志,03-3389-2131,1993/4/30,2020/4/1,豊橋市指令1豊保生第102－403号,,246,東洋製罐㈱豊橋工場内　東京割烹㈱,0532,0532-23-5661,,,,愛知県　豊橋市明海町３番地の６０,愛知県豊橋市明海町３番地ノ６０,東洋製罐㈱豊橋工場内,117653,23,23201,明海町,,1993/04/30,2020/04/01,,,東京割烹株式会社,水津　高志,03-3389-2131,,,,,,,,豊橋市指令1豊保生第102－403号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,東洋製罐株式会社豊橋工場内東京割烹㈱0532-23-566111765323201,b75831ea-eb7a-4c78-9cc8-03f0b960018a,東京割烹株式会社,c406372e-3ce2-4bc9-93d9-7c8794b1c4f7,fa6136d5-03d4-41b7-8113-f3f58d3cb8e2,2020/04/01,東洋製罐株式会社豊橋工場内　東京割烹㈱,東洋製罐株式会社豊橋工場内東京割烹㈱,東京割烹株式会社
特定非営利活動法人　ぽかぽかの森,豊橋市神野新田町字ワノ割１０７番地,愛知県,豊橋市神野新田町字ワノ割１０７番地,,,飲食店営業(一般食堂・レストラン等),特定非営利活動法人　ぽかぽかの森,理事長,杉野　友香,26-7662,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－45号,,246,特定非営利活動法人　ぽかぽかの森,0532,,,,,愛知県　豊橋市神野新田町字ワノ割１０７番地,愛知県豊橋市神野新田町字ワノ割１０７番地,,117770,23,23201,神野新田町,,2021/05/31,2021/05/31,,,特定非営利活動法人　ぽかぽかの森,杉野　友香,0532-26-7662,,,,,,,,豊橋市指令3豊保生第711－45号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,特定非営利活動法人ぽかぽかの森11777023201,8ad7b38e-b47e-4cd0-9f4a-81b5ed75c5a5,特定非営利活動法人ぽかぽかの森,8dd00b59-007c-47ab-90f1-0c697b89f815,76db0dfc-7248-45fe-ab4c-5b73daf2781f,2021/05/31,特定非営利活動法人ぽかぽかの森,特定非営利活動法人ぽかぽかの森,特定非営利活動法人ぽかぽかの森
肉１８　豊橋駅前店,豊橋市駅前大通一丁目３０番地  小野ビル１階,愛知県,豊橋市駅前大通１丁目３０番地, 小野ビル１階,26-2160,食肉販売業(一般),福澤　友希,,,,2021/6/11,2021/6/11,豊橋市指令3豊保生第113－1号,,246,肉１８　豊橋駅前店,0532,0532-26-2160,,,,愛知県　豊橋市駅前大通１丁目３０番地,愛知県豊橋市駅前大通１丁目３０番地, 小野ビル１階,117690,23,23201,駅前大通１,,2021/06/11,2021/06/11,,,,福澤　友希 ,,,,,,,,,豊橋市指令3豊保生第113－1号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,肉１８豊橋駅前店0532-26-216011769023201,00246_6bc3b8a3-ffb3-4edc-a00c-16b220410920,,personal,a8ac959a-caea-4d02-9424-5ab2fe582fae,2021/06/11,肉１８　豊橋駅前店,肉１８豊橋駅前店,
日本ゼネラルフード（０２８７）事業所,豊橋市青竹町字八間西５０番地  豊橋市民病院患者給食　給食室,愛知県,豊橋市青竹町字八間西５０番地,豊橋市民病院患者給食 給食室,35-0135,飲食店営業(集団給食施設),日本ゼネラルフード株式会社,代表取締役,西脇　司,052-243-6111,2021/5/11,2021/5/11,豊橋市指令3豊保生第711－21号,,246,日本ゼネラルフード（０２８７）事業所,0532,0532-35-0135,,,,愛知県　豊橋市青竹町字八間西５０番地,愛知県豊橋市青竹町字八間西５０番地,豊橋市民病院患者給食 給食室,117650,23,23201,青竹町,,2021/05/11,2021/05/11,,,日本ゼネラルフード株式会社,西脇　司,052-243-6111,,,,,,,,豊橋市指令3豊保生第711－21号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,日本ゼネラルフド０２８７事業所0532-35-013511765023201,00246_09e02dd7-6545-4093-bf53-a32f704c2e28,日本ゼネラルフード株式会社,fb9be81a-677f-40ad-bf21-d3e80c11cfe4,74b378a8-9ec8-4d6b-a4a8-aed1ebe76ebb,2021/05/11,日本ゼネラルフード（０２８７）事業所,日本ゼネラルフド０２８７事業所,日本ゼネラルフード株式会社
福音喫茶,豊橋市弥生町字西豊和４番地７,愛知県,豊橋市弥生町字西豊和４番地７,,,飲食店営業(一般食堂・レストラン等),高島　史弘,,,,2021/12/17,2021/12/17,豊橋市指令3豊保生第111－387号,,246,福音喫茶,0532,,,,,愛知県　豊橋市弥生町字西豊和４番地７,愛知県豊橋市弥生町字西豊和４番地７,,117948,23,23201,弥生町,,2021/12/17,2021/12/17,,,,高島　史弘 ,,,,,,,,,豊橋市指令3豊保生第111－387号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,福音喫茶11794823201,379a61bb-8552-4de8-8187-9134a5a2a63c,,personal,5d183e44-5582-4aad-b8c1-ee7c5f0ccb96,2021/12/17,福音喫茶,福音喫茶,
福茶,豊橋市町畑町字森田１番地１３,愛知県,豊橋市町畑町字森田１番地１３,,,飲食店営業(一般食堂・レストラン等),株式会社　豊橋国際貿易,代表取締役,林　嫦芳,75-1746,2019/12/10,2019/12/10,豊橋市指令1豊保生第101－161号,,246,福茶,0532,,,,,愛知県　豊橋市町畑町字森田１番地１３,愛知県豊橋市町畑町字森田１番地１３,,117907,23,23201,町畑町,,2019/12/10,2019/12/10,,,株式会社　豊橋国際貿易,林　嫦芳,0532-75-1746,,,,,,,,豊橋市指令1豊保生第101－161号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,福茶11790723201,6a605f67-2088-4d9b-821d-8163694a8015,株式会社豊橋国際貿易,aa796aa2-f8b6-4be7-ace6-965e02d5662e,3ba2ea5a-5f79-4f70-b891-80551649d842,2019/12/10,福茶,福茶,株式会社豊橋国際貿易
豊橋合同庁舎食堂,豊橋市大国町１１１番地,愛知県,豊橋市大国町１１１番地,,52-6200,飲食店営業(集団給食施設),コンパスグループ・ジャパン株式会社,代表取締役,石田　隆嗣,03-3544-0351,1991/10/25,2017/10/1,豊橋市指令29豊保生第102－45号,,246,豊橋合同庁舎食堂,0532,0532-52-6200,,,,愛知県　豊橋市大国町１１１番地,愛知県豊橋市大国町１１１番地,,117784,23,23201,大国町,,1991/10/25,2017/10/01,,,コンパスグループ・ジャパン株式会社,石田　隆嗣,03-3544-0351,,,,,,,,豊橋市指令29豊保生第102－45号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,豊橋合同庁舎食堂0532-52-620011778423201,eeed3ebf-844a-460f-9011-8437cd17e028,コンパスグループ・ジャパン株式会社,c6bdb237-334c-47bc-890a-04d85297ad63,effc0cd0-3205-48ba-9bfd-e4f4b99c9844,2017/10/01,豊橋合同庁舎食堂,豊橋合同庁舎食堂,コンパスグループ・ジャパン株式会社
夢咲庵,豊橋市下地町字神田１６７番地１,愛知県,豊橋市下地町字神田１６７番地１,,,飲食店営業(一般食堂・レストラン等),森　武志,,,,2021/5/11,2021/5/11,豊橋市指令3豊保生第711－28号,,246,夢咲庵,0532,,,,,愛知県　豊橋市下地町字神田１６７番地１,愛知県豊橋市下地町字神田１６７番地１,,117756,23,23201,下地町,,2021/05/11,2021/05/11,,,,森　武志 ,,,,,,,,,豊橋市指令3豊保生第711－28号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,夢咲庵11775623201,9649f1cd-2950-4759-a61b-b3a90560aa8f,,personal,d3f30bd3-bac9-40a8-9280-4d28ab2abbbf,2021/05/11,夢咲庵,夢咲庵,
麺処　ゆで次郎,豊橋市大岩町字岩田２７番地の３,愛知県,豊橋市大岩町字岩田２７番地の３,,41-3050,飲食店営業(一般食堂・レストラン等),株式会社　ダイハチ,代表取締役,田　海溶,0561-84-8617,2006/12/19,2019/8/1,豊橋市指令1豊保生第102－23号,,246,麺処　ゆで次郎,0532,0532-41-3050,,,,愛知県　豊橋市大岩町字岩田２７番地の３,愛知県豊橋市大岩町字岩田２７番地ノ３,,117698,23,23201,大岩町,,2006/12/19,2019/08/01,,,株式会社　ダイハチ,田　海溶,0561-84-8617,,,,,,,,豊橋市指令1豊保生第102－23号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,麺処ゆで次郎0532-41-305011769823201,ec851c22-93d6-4e4c-9fd2-f5b3bc250d6f,株式会社ダイハチ,50795b2d-f406-4498-b1c2-e092b46d6469,3e66be7d-8d11-45f4-afc0-78d14fb1bed4,2019/08/01,麺処　ゆで次郎,麺処ゆで次郎,株式会社ダイハチ
弥生,豊橋市羽田町７２番地,愛知県,豊橋市羽田町７２番地,,31-5135,飲食店営業(すし),八木　啓文,,,,2021/6/21,2021/6/21,豊橋市指令3豊保生第111－8号,,246,弥生,0532,0532-31-5135,,,,愛知県　豊橋市羽田町７２番地,愛知県豊橋市羽田町７２番地,,117846,23,23201,羽田町,,2021/06/21,2021/06/21,,,,八木　啓文 ,,,,,,,,,豊橋市指令3豊保生第111－8号,,飲食店営業,すし,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,弥生0532-31-513511784623201,00246_3b4dbbbb-b715-4472-a397-552bf1faac82,,personal,08179c7c-7d70-4389-9c76-dc2fc4d06050,2021/06/21,弥生,弥生,
有限会社　　竹内商店,豊橋市下五井町青木１１０番地,愛知県,豊橋市下五井町青木１１０番地,,54-2053,魚介類販売業(一般),有限会社　竹内商店,取締役,竹内　進三,52-0165,2011/12/22,2017/2/1,豊橋市指令28豊保生第126－35号,,246,有限会社　　竹内商店,0532,0532-54-2053,,,,愛知県　豊橋市下五井町青木１１０番地,愛知県豊橋市下五井町青木１１０番地,,117755,23,23201,下五井町,,2011/12/22,2017/02/01,,,有限会社　竹内商店,竹内　進三,0532-52-0165,,,,,,,,豊橋市指令28豊保生第126－35号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,有限会社竹内商店0532-54-205311775523201,df433d7b-fee8-485a-be47-7994f8ee504a,有限会社竹内商店,278059af-8030-4b1b-9bb8-265d815d08cf,40af1d46-4548-45cd-a3ab-dfe78204cd3c,2017/02/01,有限会社　竹内商店,有限会社竹内商店,有限会社竹内商店
有限会社　大東園高師店,豊橋市芦原町字芦原８番地の１,愛知県,豊橋市芦原町字芦原８番地の１,,45-4008,飲食店営業(一般食堂・レストラン等),有限会社　大東園高師店,代表取締役,山下　圭三,45-4008,1992/4/1,2019/4/1,豊橋市指令30豊保生第102－338号,,246,有限会社　大東園高師店,0532,0532-45-4008,,,,愛知県　豊橋市芦原町字芦原８番地の１,愛知県豊橋市芦原町字芦原８番地ノ１,,117657,23,23201,芦原町,,1992/04/01,2019/04/01,,,有限会社　大東園高師店,山下　圭三,0532-45-4008,,,,,,,,豊橋市指令30豊保生第102－338号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,有限会社大東園高師店0532-45-400811765723201,ec640a86-c283-4677-8bc9-0ac7f029ec41,有限会社大東園高師店,abf52e0e-c882-41cf-81bf-62fd1050d0c9,0eeb7b2c-96b5-4589-8218-a691994e9833,2019/04/01,有限会社大東園高師店,有限会社大東園高師店,有限会社大東園高師店
