11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＰＯＰＯ,,904-0203,中頭郡嘉手納町嘉手納４２９,,              ,飲食店営業,カフェー,仲宗根　有紀,,R04.07.21,R04.07.21,第03202200624号,,中部保健所,ＰＯＰＯ,098,,904-0203,,,中頭郡嘉手納町嘉手納４２９,沖縄県中頭郡嘉手納町嘉手納４２９,,216253,沖縄県,中頭郡嘉手納町,嘉手納,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200624号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＯＰＯ,ＰＯＰＯ,,,1,,,,,
ＯＮＥＤＡＹ,,904-2221,うるま市平良川１０５,平良坂プラザ２－A,              ,飲食店営業,バー,緑間　秋乃,,R04.07.21,R04.07.21,第03202200626号,,中部保健所,ＯＮＥＤＡＹ,098,,904-2221,,,うるま市平良川１０５,沖縄県うるま市平良川１０５,平良坂プラザ２－A,216500,沖縄県,うるま市,平良川,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200626号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＯＮＥＤＡＹ,ＯＮＥＤＡＹ,,,1,,,,,
ＡＮＡインターコンチネンタル万座ビーチリゾート,,904-0404,恩納村瀬良垣２２６０,,098-966-2304  ,飲食店営業,レストラン,ザ・ホテリエ・グループ万座株式会社,03-4570-6926  ,R04.07.20,R04.07.20,第03202200629号,,中部保健所,ＡＮＡインターコンチネンタル万座ビーチリゾート,098,098-966-2304,904-0404,,,恩納村瀬良垣２２６０,沖縄県国頭郡恩納村瀬良垣２２６０,,216158,沖縄県,国頭郡恩納村,瀬良垣,,2022/07/20,2022/07/20,,,ザ・ホテリエ・グループ万座株式会社,,03-4570-6926  ,,,,,,,,第03202200629号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＮＡインターコンチネンタル万座ビーチリゾート,ＡＮＡインタコンチネンタル万座ビチリゾト,ザ・ホテリエ・グループ万座株式会社,,1,,,,,
ＨＯＴＥＬ　ＫＡＩＧＡＮ,,904-1202,金武町伊芸２００７,,              ,飲食店営業,レストラン,合資会社丸信観光,098-968-4896  ,R04.07.20,R04.07.20,第03202200630号,,中部保健所,ＨＯＴＥＬ　ＫＡＩＧＡＮ,098,,904-1202,,,金武町伊芸２００７,沖縄県国頭郡金武町伊芸２００７,,216167,沖縄県,国頭郡金武町,伊芸,,2022/07/20,2022/07/20,,,合資会社丸信観光,,098-968-4896  ,,,,,,,,第03202200630号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＨＯＴＥＬ　ＫＡＩＧＡＮ,ＨＯＴＥＬＫＡＩＧＡＮ,合資会社丸信観光,,1,,,,,
Ｊｏｕｒｎｅｙ,,901-2202,宜野湾市普天間２－３７－１３,すずらんＹビル２０３号,              ,飲食店営業,バー,川上雅彦,,R04.07.21,R04.07.21,第03202200632号,,中部保健所,Ｊｏｕｒｎｅｙ,098,,901-2202,,,宜野湾市普天間２－３７－１３,沖縄県宜野湾市普天間２－３７－１３,すずらんＹビル２０３号,215602,沖縄県,宜野湾市,普天間２,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200632号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｊｏｕｒｎｅｙ,Ｊｏｕｒｎｅｙ,,,1,,,,,
Ｂａｒ　Ｅｇｒａｆｆ,,904-2245,うるま市赤道１８－８,（２Ｆ ２０１）,              ,飲食店営業,バー,翁長匠,,R04.07.21,R04.07.21,第03202200638号,,中部保健所,Ｂａｒ　Ｅｇｒａｆｆ,098,,904-2245,,,うるま市赤道１８－８,沖縄県うるま市赤道１８－８,（２Ｆ ２０１）,216517,沖縄県,うるま市,赤道,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200638号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒ　Ｅｇｒａｆｆ,ＢａｒＥｇｒａｆｆ,,,1,,,,,
上間沖縄天ぷら店 登川店,,904-2142,沖縄市登川３－２３－２０,,098-937-9477  ,そうざい製造業,そうざい製造業,株式会社 上間フードアンドライフ,098-937-9477  ,R04.07.21,R04.07.21,第03202200639号,,中部保健所,上間沖縄天ぷら店 登川店,098,098-937-9477,904-2142,,,沖縄市登川３－２３－２０,沖縄県沖縄市登川３－２３－２０,,215887,沖縄県,沖縄市,登川３,,2022/07/21,2022/07/21,,,株式会社 上間フードアンドライフ,,098-937-9477  ,,,,,,,,第03202200639号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,上間沖縄天ぷら店　登川店,上間沖縄天ぷら店登川店,株式会社上間フードアンドライフ,,2,,,,,
上間沖縄天ぷら店 登川店,,904-2142,沖縄市登川３－２３－２０,,098-937-9477  ,飲食店営業,食堂,株式会社上間フードアンドライフ,098-937-9477  ,R04.07.21,R04.07.21,第03202200640号,,中部保健所,上間沖縄天ぷら店 登川店,098,098-937-9477,904-2142,,,沖縄市登川３－２３－２０,沖縄県沖縄市登川３－２３－２０,,215887,沖縄県,沖縄市,登川３,,2022/07/21,2022/07/21,,,株式会社上間フードアンドライフ,,098-937-9477  ,,,,,,,,第03202200640号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,上間沖縄天ぷら店　登川店,上間沖縄天ぷら店登川店,株式会社上間フードアンドライフ,,2,,,,,
ＭＡＧＭＡ　ＮＯＯＤＬＥ,,904-0004,沖縄市中央１－１０－８,１Ｆ,098-989-3272  ,飲食店営業,その他,金城一彦,,R04.07.21,R04.07.21,第03202200643号,,中部保健所,ＭＡＧＭＡ　ＮＯＯＤＬＥ,098,098-989-3272,904-0004,,,沖縄市中央１－１０－８,沖縄県沖縄市中央１－１０－８,１Ｆ,215916,沖縄県,沖縄市,中央１,,2022/07/21,2022/07/21,,,,,,,,,,,,,第03202200643号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＭＡＧＭＡ　ＮＯＯＤＬＥ,ＭＡＧＭＡＮＯＯＤＬＥ,,,1,,,,,
ＡＮＤＥＳ　ｇａｒｄｅｎ,,904-1201,金武町金武１１２１０,,              ,そうざい製造業,そうざい製造業,農業生産法人ＡＮＤＥＳ ｆａｒｍ 合同会社,              ,R04.07.22,R04.07.22,第03202200645号,,中部保健所,ＡＮＤＥＳ　ｇａｒｄｅｎ,098,,904-1201,,,金武町金武１１２１０,沖縄県国頭郡金武町金武１１２１０,,216168,沖縄県,国頭郡金武町,金武,,2022/07/22,2022/07/22,,,農業生産法人ＡＮＤＥＳ ｆａｒｍ 合同会社,,-undefined-    ,,,,,,,,第03202200645号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＡＮＤＥＳ　ｇａｒｄｅｎ,ＡＮＤＥＳｇａｒｄｅｎ,農業生産法人ＡＮＤＥＳ　ｆａｒｍ　合同会社,,3,,,,,
ＴＡＫＩ－ＴＡＫＵＹ,,904-0004,沖縄市中央１－２３－１６,（１Ｆ）,098-937-7331  ,飲食店営業,レストラン,上原ロベルト,,R04.07.22,R04.07.22,第03202200646号,,中部保健所,ＴＡＫＩ－ＴＡＫＵＹ,098,098-937-7331,904-0004,,,沖縄市中央１－２３－１６,沖縄県沖縄市中央１－２３－１６,（１Ｆ）,215916,沖縄県,沖縄市,中央１,,2022/07/22,2022/07/22,,,,,,,,,,,,,第03202200646号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＡＫＩ－ＴＡＫＵＹ,ＴＡＫＩＴＡＫＵＹ,,,1,,,,,
おでん　かねしろ,,904-0116,中頭郡北谷町北谷２－１６－５,,              ,飲食店営業,おでん,金城直己,,R04.07.22,R04.07.22,第03202200647号,,中部保健所,おでん　かねしろ,098,,904-0116,,,中頭郡北谷町北谷２－１６－５,沖縄県中頭郡北谷町北谷２－１６－５,,216293,沖縄県,中頭郡北谷町,北谷２,,2022/07/22,2022/07/22,,,,,,,,,,,,,第03202200647号,,飲食店営業, おでん,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,おでん　かねしろ,おでんかねしろ,,,1,,,,,
まりー,,904-1201,国頭郡金武町金武４１,,              ,飲食店営業,スナック,金城秀子,,R04.07.26,R04.07.26,第03202200659号,,中部保健所,まりー,098,,904-1201,,,国頭郡金武町金武４１,沖縄県国頭郡金武町金武４１,,216168,沖縄県,国頭郡金武町,金武,,2022/07/26,2022/07/26,,,,,,,,,,,,,第03202200659号,,飲食店営業, スナック,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,まりー,まり,,,1,,,,,
焼肉　琉球の牛　北谷店,,904-0115,中頭郡北谷町美浜５１－１,マカイリゾート北谷２Ｆ－4号室,098-989-3405  ,飲食店営業,レストラン,株式会社Ｒｅａｄｙ　Ｇｏ,098-964-3422  ,R04.07.27,R04.07.27,第03202200662号,,中部保健所,焼肉　琉球の牛　北谷店,098,098-989-3405,904-0115,,,中頭郡北谷町美浜５１－１,沖縄県中頭郡北谷町美浜５１－１,マカイリゾート北谷２Ｆ－4号室,216290,沖縄県,中頭郡北谷町,美浜,,2022/07/27,2022/07/27,,,株式会社Ｒｅａｄｙ　Ｇｏ,,098-964-3422  ,,,,,,,,第03202200662号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉　琉球の牛　北谷店,焼肉琉球の牛北谷店,株式会社Ｒｅａｄｙ　Ｇｏ,,1,,,,,
イオン北谷店,,904-0115,中頭郡北谷町美浜８－３,,              ,アイスクリーム類製造業,ｱｲｽｸﾘｰﾑ類製造業,イオン琉球株式会社,0998-889-5464 ,R04.07.27,R04.07.27,第03202200665号,,中部保健所,イオン北谷店,098,,904-0115,,,中頭郡北谷町美浜８－３,沖縄県中頭郡北谷町美浜８－３,,216290,沖縄県,中頭郡北谷町,美浜,,2022/07/27,2022/07/27,,,イオン琉球株式会社,,0998-889-5464 ,,,,,,,,第03202200665号,,アイスクリーム類製造業, ｱｲｽｸﾘｰﾑ類製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,イオン北谷店,イオン北谷店,イオン琉球株式会社,,1,,,,,
Ｃａｐｆｕｌ,,904-1107,うるま市石川曙１－６－３,,098-965-4550  ,菓子製造業,菓子製造業,片倉高一,,R04.07.27,R04.07.27,第03202200666号,,中部保健所,Ｃａｐｆｕｌ,098,098-965-4550,904-1107,,,うるま市石川曙１－６－３,沖縄県うるま市石川曙１－６－３,,216035,沖縄県,うるま市,石川曙１,,2022/07/27,2022/07/27,,,,,,,,,,,,,第03202200666号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｃａｐｆｕｌ,Ｃａｐｆｕｌ,,,2,,,,,
Ｃａｐｆｕｌ,,904-1107,うるま市石川曙１－６－３,,098-965-4550  ,飲食店営業,レストラン,片倉高一,,R04.07.27,R04.07.27,第03202200667号,,中部保健所,Ｃａｐｆｕｌ,098,098-965-4550,904-1107,,,うるま市石川曙１－６－３,沖縄県うるま市石川曙１－６－３,,216035,沖縄県,うるま市,石川曙１,,2022/07/27,2022/07/27,,,,,,,,,,,,,第03202200667号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｐｆｕｌ,Ｃａｐｆｕｌ,,,2,,,,,
はっぴーぐりん,,904-0022,沖縄市園田３－１２－１８,,              ,飲食店営業,その他,仲米麻子,,R04.07.27,R04.07.27,第03202200669号,,中部保健所,はっぴーぐりん,098,,904-0022,,,沖縄市園田３－１２－１８,沖縄県沖縄市園田３－１２－１８,,215930,沖縄県,沖縄市,園田３,,2022/07/27,2022/07/27,,,,,,,,,,,,,第03202200669号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,はっぴーぐりん,はっぴぐりん,,,1,,,,,
ＯＫＩＮＡＷＡ　８８０　ＬＡＢ,,904-2165,沖縄市宮里１－１６－５,,              ,菓子製造業,菓子製造業,砂川美和,,R04.07.28,R04.07.28,第03202200680号,,中部保健所,ＯＫＩＮＡＷＡ　８８０　ＬＡＢ,098,,904-2165,,,沖縄市宮里１－１６－５,沖縄県沖縄市宮里１－１６－５,,215938,沖縄県,沖縄市,宮里１,,2022/07/28,2022/07/28,,,,,,,,,,,,,第03202200680号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＯＫＩＮＡＷＡ　８８０　ＬＡＢ,ＯＫＩＮＡＷＡ８８０ＬＡＢ,,,2,,,,,
ＣＯＦＦＥＥ　ＰＥＯＰＬＥ／コーヒーピープル,,904-0417,国頭郡恩納村真栄田１４５８,,              ,飲食店営業,パーラー,株式会社イーナストゥディオス,              ,R04.07.28,R04.07.28,第03202200682号,,中部保健所,ＣＯＦＦＥＥ　ＰＥＯＰＬＥ／コーヒーピープル,098,,904-0417,,,国頭郡恩納村真栄田１４５８,沖縄県国頭郡恩納村真栄田１４５８,,216164,沖縄県,国頭郡恩納村,真栄田,,2022/07/28,2022/07/28,,,株式会社イーナストゥディオス,,-undefined-    ,,,,,,,,第03202200682号,,飲食店営業, パーラー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣＯＦＦＥＥ　ＰＥＯＰＬＥ／コーヒーピープル,ＣＯＦＦＥＥＰＥＯＰＬＥコヒピプル,株式会社イーナストゥディオス,,1,,,,,
ｏｉｌｅ,,        ,中頭郡北谷町北谷１－１２－１８,,              ,飲食店営業,旅館,ＤＡＳＷＡＮＩ－ＳＡＫＨＲＡＮＩ　ＨＯＳＰＩＴＡＬＩＴＹ株式会社,098-926-2622  ,R04.07.28,R04.07.28,第03202200683号,,中部保健所,ｏｉｌｅ,098,,        ,,,中頭郡北谷町北谷１－１２－１８,沖縄県中頭郡北谷町北谷１－１２－１８,,216292,沖縄県,中頭郡北谷町,北谷１,,2022/07/28,2022/07/28,,,ＤＡＳＷＡＮＩ－ＳＡＫＨＲＡＮＩ　ＨＯＳＰＩＴＡＬＩＴＹ株式会社,,098-926-2622  ,,,,,,,,第03202200683号,,飲食店営業, 旅館,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｏｉｌｅ,ｏｉｌｅ,ＤＡＳＷＡＮＩ－ＳＡＫＨＲＡＮＩ　ＨＯＳＰＩＴＡＬＩＴＹ株式会社,,1,,,,,
焼肉酒場　はちまき,,904-2242,うるま市高江洲１０３１－２,,              ,飲食店営業,その他,宮城文嗣,,R04.07.29,R04.07.29,第03202200690号,,中部保健所,焼肉酒場　はちまき,098,,904-2242,,,うるま市高江洲１０３１－２,沖縄県うるま市高江洲１０３１－２,,216488,沖縄県,うるま市,高江洲,,2022/07/29,2022/07/29,,,,,,,,,,,,,第03202200690号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉酒場　はちまき,焼肉酒場はちまき,,,1,,,,,
ゴル４,,904-0312,中頭郡読谷村比謝矼７３,新崎アパート１階,              ,飲食店営業,バー,新城哲也,,R04.07.29,R04.07.29,第03202200691号,,中部保健所,ゴル４,098,,904-0312,,,中頭郡読谷村比謝矼７３,沖縄県中頭郡読谷村比謝矼７３,新崎アパート１階,216361,沖縄県,中頭郡読谷村,比謝矼,,2022/07/29,2022/07/29,,,,,,,,,,,,,第03202200691号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ゴル４,ゴル４,,,1,,,,,
コンドミニアムホテル　しまんちゅクラブ,,904-0401,恩納村名嘉真２２８８－１６２,,098-967-8281  ,飲食店営業,旅館,株式会社プロセス,098-967-8281  ,R04.07.29,R04.07.29,第03202200693号,,中部保健所,コンドミニアムホテル　しまんちゅクラブ,098,098-967-8281,904-0401,,,恩納村名嘉真２２８８－１６２,沖縄県国頭郡恩納村名嘉真２２８８－１６２,,216161,沖縄県,国頭郡恩納村,名嘉真,,2022/07/29,2022/07/29,,,株式会社プロセス,,098-967-8281  ,,,,,,,,第03202200693号,,飲食店営業, 旅館,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,コンドミニアムホテル　しまんちゅクラブ,コンドミニアムホテルしまんちゅクラブ,株式会社プロセス,,1,,,,,
ローソン屋嘉インター店,,904-1203,金武町屋嘉２９１５,,098-964-5282  ,飲食店営業,その他,ＫＳＬエイト合同会社,098-965-4578  ,R04.07.29,R04.07.29,第03202200694号,,中部保健所,ローソン屋嘉インター店,098,098-964-5282,904-1203,,,金武町屋嘉２９１５,沖縄県国頭郡金武町屋嘉２９１５,,216169,沖縄県,国頭郡金武町,屋嘉,,2022/07/29,2022/07/29,,,ＫＳＬエイト合同会社,,098-965-4578  ,,,,,,,,第03202200694号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン屋嘉インター店,ロソン屋嘉インタ店,ＫＳＬエイト合同会社,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
おきなわトルコライス　ｔａｎｃｈａｙａ,,904-0412,国頭郡恩納村谷茶１６８,,098-966-8557  ,飲食店営業,カフェー,Ｓ－ＧＡＴＥ株式会社,082-247-8838  ,R04.07.29,R04.07.29,第03202200702号,,中部保健所,おきなわトルコライス　ｔａｎｃｈａｙａ,098,098-966-8557,904-0412,,,国頭郡恩納村谷茶１６８,沖縄県国頭郡恩納村谷茶１６８,,216159,沖縄県,国頭郡恩納村,谷茶,,2022/07/29,2022/07/29,,,Ｓ－ＧＡＴＥ株式会社,,082-247-8838  ,,,,,,,,第03202200702号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,おきなわトルコライス　ｔａｎｃｈａｙａ,おきなわトルコライスｔａｎｃｈａｙａ,Ｓ－ＧＡＴＥ株式会社,,1,,,,,
いなかもん,,904-0322,中頭郡読谷村波平１７３６－１,,098-958-2882  ,飲食店営業,食堂,藤井守,,R04.07.29,R04.07.29,第03202200708号,,中部保健所,いなかもん,098,098-958-2882,904-0322,,,中頭郡読谷村波平１７３６－１,沖縄県中頭郡読谷村波平１７３６－１,,216359,沖縄県,中頭郡読谷村,波平,,2022/07/29,2022/07/29,,,,,,,,,,,,,第03202200708号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,いなかもん,いなかもん,,,1,,,,,
Ａ＆Ｗ　北谷店,,904-0101,中頭郡北谷町上勢頭５４９－２,,098-936-6593  ,飲食店営業,レストラン,エイ・アンド・ダブリュ沖縄株式会社,098-878-2362  ,R04.07.29,R04.07.29,第03202200712号,,中部保健所,Ａ＆Ｗ　北谷店,098,098-936-6593,904-0101,,,中頭郡北谷町上勢頭５４９－２,沖縄県中頭郡北谷町上勢頭５４９－２,,216280,沖縄県,中頭郡北谷町,上勢頭,,2022/07/29,2022/07/29,,,エイ・アンド・ダブリュ沖縄株式会社,,098-878-2362  ,,,,,,,,第03202200712号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａ＆Ｗ　北谷店,ＡＷ北谷店,エイ・アンド・ダブリュ沖縄株式会社,,1,,,,,
孝行屋,,904-0011,沖縄市照屋１－１０－５,１０１号室,              ,そうざい製造業,そうざい製造業,玉代勢興治,,R04.07.29,R04.07.29,第03202200716号,,中部保健所,孝行屋,098,,904-0011,,,沖縄市照屋１－１０－５,沖縄県沖縄市照屋１－１０－５,１０１号室,215880,沖縄県,沖縄市,照屋１,,2022/07/29,2022/07/29,,,,,,,,,,,,,第03202200716号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,孝行屋,孝行屋,,,1,,,,,
ローソン　中頭病院前,,904-2142,沖縄市登川２－２４－１６,,              ,飲食店営業,そうざい,金城幸治,,R04.07.29,R04.07.29,第03202200719号,,中部保健所,ローソン　中頭病院前,098,,904-2142,,,沖縄市登川２－２４－１６,沖縄県沖縄市登川２－２４－１６,,215886,沖縄県,沖縄市,登川２,,2022/07/29,2022/07/29,,,,,,,,,,,,,第03202200719号,,飲食店営業, そうざい,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン　中頭病院前,ロソン中頭病院前,,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
