https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
石神井クラシックコミュニティそよ風,東京都,練馬区石神井台七丁目１６番１１号,練馬区石神井台７丁目１６番１１号,,株式会社ユニマット　リタイアメント・コミュニティ,飲食店営業,中川清彦,03-5927-5140,3練健生石食第21937号,2021/12/8,2021/12/8,2028/12/31,,199,石神井クラシックコミュニティそよ風,03,03-5927-5140,,,,東京都　練馬区石神井台７丁目１６番１１号,東京都練馬区石神井台７丁目１６番１１号,,75218,13,13120,石神井台７,,2021/12/08,2021/12/08,,2028/12/31,株式会社ユニマット　リタイアメント・コミュニティ,中川清彦,,,,,,,,,3練健生石食第21937号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,石神井クラシックコミュニティそよ風03-5927-51407521813120,b1789f6e-2c33-4a75-b53d-7d8fa44421cb,株式会社ユニマット　リタイアメント・コミュニティ,7f7dc310-068e-44b7-b1dd-dbdaf7da8df3,098e6f1e-4c90-4b08-bfa9-0012c617f8b8,2021/12/08,石神井クラシックコミュニティそよ風,石神井クラシックコミュニティそよ風,株式会社ユニマット　リタイアメント・コミュニティ
お茶漬おにぎり二人三脚,東京都,練馬区上石神井一丁目１３番３号,練馬区上石神井１丁目１３番３号,,木村みつる,飲食店営業,,3928-0730,3練健生石食第22003号,2021/12/10,2021/12/10,2027/12/31,,199,お茶漬おにぎり二人三脚,03,03-3928-0730,,,,東京都　練馬区上石神井１丁目１３番３号,東京都練馬区上石神井１丁目１３番３号,,75181,13,13120,上石神井１,,2021/12/10,2021/12/10,,2027/12/31,,木村みつる ,,,,,,,,,3練健生石食第22003号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,お茶漬おにぎり二人三脚03-3928-07307518113120,6f5be2e8-ce4d-4e60-8094-b623fe4d993b,,personal,896e5263-d112-4714-bfd5-0f14bb767c18,2021/12/10,お茶漬おにぎり二人三脚,お茶漬おにぎり二人三脚,
津多屋,東京都,練馬区上石神井一丁目２５番１号,練馬区上石神井１丁目２５番１号,,有限会社津多屋,その他の食料・飲料販売業,河口貴,3928-3336,3練健生石食第22002号,2021/12/1,2021/12/1,,,199,津多屋,03,03-3928-3336,,,,東京都　練馬区上石神井１丁目２５番１号,東京都練馬区上石神井１丁目２５番１号,,75181,13,13120,上石神井１,,2021/12/01,2021/12/01,,,有限会社津多屋,河口貴,,,,,,,,,3練健生石食第22002号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,津多屋03-3928-33367518113120,985affae-6fb8-422e-a52d-ce15b0e3d34e,有限会社津多屋,c7b2de24-1b30-4f1e-b481-a29492222444,75e06dca-b3b5-4ec0-9bf0-5060c99ac91b,2021/12/01,津多屋,津多屋,有限会社津多屋
串かつ三十年たちのみ蔵屋,東京都,練馬区上石神井二丁目２３番１６号  加藤ビル１階,練馬区上石神井２丁目２３番１６号, 加藤ビル１階,株式会社ＤＥＥＰ＇Ｓ,飲食店営業,松村正美,5903-8077,3練健生石食第21952号,2021/12/14,2021/12/14,2027/12/31,,199,串かつ三十年たちのみ蔵屋,03,03-5903-8077,,,,東京都　練馬区上石神井２丁目２３番１６号,東京都練馬区上石神井２丁目２３番１６号, 加藤ビル１階,75182,13,13120,上石神井２,,2021/12/14,2021/12/14,,2027/12/31,株式会社ＤＥＥＰ＇Ｓ,松村正美,,,,,,,,,3練健生石食第21952号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,串かつ三十年たちのみ蔵屋03-5903-80777518213120,157628d5-5de7-4b66-9069-804064a1806c,株式会社ＤＥＥＰ＇Ｓ,1e8cb63b-d922-42e9-b775-7092e5df14f0,58d3457c-065b-4620-9532-1fd1f6553576,2021/12/14,串かつ三十年たちのみ蔵屋,串かつ三十年たちのみ蔵屋,株式会社ＤＥＥＰ＇Ｓ
三浦海苔店　茶処香乃会,東京都,練馬区上石神井四丁目１０番２４号,練馬区上石神井４丁目１０番２４号,,三浦正隆,その他の食料品製造・加工業,,03-3928-2933,3練健生石食第22047号,2021/12/22,2021/12/22,,,199,三浦海苔店　茶処香乃会,03,03-3928-2933,,,,東京都　練馬区上石神井４丁目１０番２４号,東京都練馬区上石神井４丁目１０番２４号,,75184,13,13120,上石神井４,,2021/12/22,2021/12/22,,,,三浦正隆 ,,,,,,,,,3練健生石食第22047号,,その他の食料品製造・加工業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,三浦海苔店茶処香乃会03-3928-29337518413120,6c321c39-7105-4123-a6d9-f7f095a0cf1f,,personal,a56a3db6-227e-4a78-8124-f4d36ef77497,2021/12/22,三浦海苔店　茶処香乃会,三浦海苔店茶処香乃会,
ハートフルコート石神井,東京都,練馬区下石神井四丁目３４番７号  ハートフルコート石神井,練馬区下石神井４丁目３４番７号, ハートフルコート石神井,株式会社ビーステップ,集団給食施設,矢嶋明,0367611122,3練健生石食第22048号,2021/12/22,2021/12/22,,,199,ハートフルコート石神井,03,03-6761-1122,,,,東京都　練馬区下石神井４丁目３４番７号,東京都練馬区下石神井４丁目３４番７号, ハートフルコート石神井,75209,13,13120,下石神井４,,2021/12/22,2021/12/22,,,株式会社ビーステップ,矢嶋明,,,,,,,,,3練健生石食第22048号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,ハトフルコト石神井03-6761-11227520913120,2bd05dd6-1bba-4412-9d5a-eaf846e61b42,株式会社ビーステップ,12409a79-4147-4a29-8094-a5ba48beb56b,de0e315a-520d-4a1e-9500-a91045d1e28c,2021/12/22,ハートフルコート石神井,ハトフルコト石神井,株式会社ビーステップ
びっくりドンキー関町店,東京都,練馬区関町東一丁目１８番１２号,練馬区関町東１丁目１８番１２号,,株式会社アレフ,米穀類販売業,庄司大,03-5991-7167,3練健生石食第22006号,2021/12/6,2021/12/6,,,199,びっくりドンキー関町店,03,03-5991-7167,,,,東京都　練馬区関町東１丁目１８番１２号,東京都練馬区関町東１丁目１８番１２号,,75361,13,13120,関町東１,,2021/12/06,2021/12/06,,,株式会社アレフ,庄司大,,,,,,,,,3練健生石食第22006号,,米穀類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,589,5896,びっくりドンキ関町店03-5991-71677536113120,4c309d19-d143-42e4-8b90-ecd05b155a8d,株式会社アレフ,80557570-1c8e-49ae-9629-b4542d279047,51cb170f-b4e0-4d03-8b9b-028e96ef74a3,2021/12/06,びっくりドンキー関町店,びっくりドンキ関町店,株式会社アレフ
びっくりドンキー関町店,東京都,練馬区関町東一丁目１８番１２号,練馬区関町東１丁目１８番１２号,,株式会社アレフ,その他の食料・飲料販売業,庄司大,03-5991-7167,3練健生石食第22007号,2021/12/6,2021/12/6,,,199,びっくりドンキー関町店,03,03-5991-7167,,,,東京都　練馬区関町東１丁目１８番１２号,東京都練馬区関町東１丁目１８番１２号,,75361,13,13120,関町東１,,2021/12/06,2021/12/06,,,株式会社アレフ,庄司大,,,,,,,,,3練健生石食第22007号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,びっくりドンキ関町店03-5991-71677536113120,4c309d19-d143-42e4-8b90-ecd05b155a8d,株式会社アレフ,80557570-1c8e-49ae-9629-b4542d279047,5ebca4be-e00b-41a6-a6e8-b945b136fddd,2021/12/06,びっくりドンキー関町店,びっくりドンキ関町店,株式会社アレフ
すき家　練馬関町南店,東京都,練馬区関町南一丁目１１番２号,練馬区関町南１丁目１１番２号,,株式会社すき家,その他の食料・飲料販売業,浅沼幹典,,3練健生石食第21994号,2021/12/6,2021/12/6,,,199,すき家　練馬関町南店,03,,,,,東京都　練馬区関町南１丁目１１番２号,東京都練馬区関町南１丁目１１番２号,,75357,13,13120,関町南１,,2021/12/06,2021/12/06,,,株式会社すき家,浅沼幹典,,,,,,,,,3練健生石食第21994号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,すき家練馬関町南店7535713120,2d6e087d-f40c-4d54-b418-6de355255850,株式会社すき家,f68ec1d4-976c-4a8b-8d22-f33076eedfbf,b07d75e9-6510-4287-80d4-136e295dad76,2021/12/06,すき家　練馬関町南店,すき家練馬関町南店,株式会社すき家
合同会社西友関町店,東京都,練馬区関町南四丁目２０番１９号,練馬区関町南４丁目２０番１９号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保　恒夫,3929-5131,3練健生石食第22025号,2021/12/14,2021/12/14,2028/12/31,,199,合同会社西友関町店,03,03-3929-5131,,,,東京都　練馬区関町南４丁目２０番１９号,東京都練馬区関町南４丁目２０番１９号,,75360,13,13120,関町南４,,2021/12/14,2021/12/14,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,,,,,,,,,,3練健生石食第22025号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友関町店03-3929-51317536013120,92c02942-5df1-43b4-9b72-319f191667e9,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,cc814089-9c24-4ce6-a786-2fc6f5c42c5c,ddc95600-0e57-41c4-a9f2-91c211a531b7,2021/12/14,合同会社西友関町店,合同会社西友関町店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫
ＡＬＮＡＢＬＳＩ,東京都,練馬区関町北一丁目１５番１１号  ＰＡＲＴＥＮＯＮ　ｓｅｋｉｍａｃｈｉ,練馬区関町北１丁目１５番１１号,ＰＡＲＴＥＮＯＮ ｓｅｋｉｍａｃｈｉ,ＭＡＺＥＮ　ＣＨＨＥＤ　ＡＬＮＡＢＬＳＴ,菓子製造業,,,3練健生石食第21973号,2021/12/8,2021/12/8,2027/12/31,,199,ＡＬＮＡＢＬＳＩ,03,,,,,東京都　練馬区関町北１丁目１５番１１号,東京都練馬区関町北１丁目１５番１１号,ＰＡＲＴＥＮＯＮ ｓｅｋｉｍａｃｈｉ,75228,13,13120,関町北１,,2021/12/08,2021/12/08,,2027/12/31,,ＭＡＺＥＮ　ＣＨＨＥＤ　ＡＬＮＡＢＬＳＴ ,,,,,,,,,3練健生石食第21973号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,ＡＬＮＡＢＬＳＩ7522813120,4b8acb40-de82-4d21-a64f-fb26eee3ddb6,,personal,f94dd1c8-bd6a-44b8-a936-926b9b2af947,2021/12/08,ＡＬＮＡＢＬＳＩ,ＡＬＮＡＢＬＳＩ,
鮨飯田,東京都,練馬区関町北四丁目３番９号,練馬区関町北４丁目３番９号,,飯田守彦,飲食店営業,,3928-6995,3練健生石食第21947号,2021/12/9,2021/12/9,2027/12/31,,199,鮨飯田,03,03-3928-6995,,,,東京都　練馬区関町北４丁目３番９号,東京都練馬区関町北４丁目３番９号,,75231,13,13120,関町北４,,2021/12/09,2021/12/09,,2027/12/31,,飯田守彦 ,,,,,,,,,3練健生石食第21947号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,鮨飯田03-3928-69957523113120,28819fcb-faec-4dcf-893e-d18de88470c9,,personal,c4dca399-30b7-4ad8-b257-76e115bff8ed,2021/12/09,鮨飯田,鮨飯田,
はま寿司練馬関町店,東京都,練馬区関町北五丁目１７番２０号,練馬区関町北５丁目１７番２０号,,株式会社はま寿司,その他の食料・飲料販売業,遠藤　哲郎,5903-3885,3練健生石食第22036号,2021/12/15,2021/12/15,,,199,はま寿司練馬関町店,03,03-5903-3885,,,,東京都　練馬区関町北５丁目１７番２０号,東京都練馬区関町北５丁目１７番２０号,,75232,13,13120,関町北５,,2021/12/15,2021/12/15,,,株式会社はま寿司,遠藤　哲郎,,,,,,,,,3練健生石食第22036号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,はま寿司練馬関町店03-5903-38857523213120,9216d48f-a3af-43ec-a492-918a8ddee0d8,株式会社はま寿司,811c4121-252e-4cc4-864c-aa132cd8cc8a,fe90f033-c87a-498d-bfdd-479fc91663f7,2021/12/15,はま寿司練馬関町店,はま寿司練馬関町店,株式会社はま寿司
ゆり乃花,東京都,練馬区東大泉一丁目２０番３５号  ２フクビル１Ｆ１０１,練馬区東大泉１丁目２０番３５号,２フクビル１Ｆ１０１,渡邉美知子,飲食店営業,,,3練健生石食第22034号,2021/12/24,2021/12/24,2027/12/31,,199,ゆり乃花,03,,,,,東京都　練馬区東大泉１丁目２０番３５号,東京都練馬区東大泉１丁目２０番３５号,２フクビル１Ｆ１０１,75342,13,13120,東大泉１,,2021/12/24,2021/12/24,,2027/12/31,,渡邉美知子 ,,,,,,,,,3練健生石食第22034号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ゆり乃花7534213120,744cabab-76ac-46bb-82ff-3c61113572ac,,personal,9da474ba-2eca-4c15-886c-3e364f6e2c5f,2021/12/24,ゆり乃花,ゆり乃花,
あわ家惣兵衛,東京都,練馬区東大泉一丁目２８番１号  グランエミオ大泉学園,練馬区東大泉１丁目２８番１号, グランエミオ大泉学園,株式会社あわ家惣兵衛,その他の食料・飲料販売業,佐藤　公明,6904-4466,3練健生石食第22027号,2021/12/9,2021/12/9,,,199,あわ家惣兵衛,03,03-6904-4466,,,,東京都　練馬区東大泉１丁目２８番１号,東京都練馬区東大泉１丁目２８番１号, グランエミオ大泉学園,75342,13,13120,東大泉１,,2021/12/09,2021/12/09,,,株式会社あわ家惣兵衛,佐藤　公明,,,,,,,,,3練健生石食第22027号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,あわ家惣兵衛03-6904-44667534213120,e350f5ab-fd0d-4e5d-94ef-c10a78acdc7e,株式会社あわ家惣兵衛,f70ca0a9-c9f3-4cf1-a985-03e8a1fd29d2,dba6d426-484d-4e82-98b3-46d4f68be303,2021/12/09,あわ家惣兵衛,あわ家惣兵衛,株式会社あわ家惣兵衛
腹八分目　大泉学園店,東京都,練馬区東大泉一丁目３０番１５号,練馬区東大泉１丁目３０番１５号,,株式会社海峡,飲食店営業,金井弘教,03-3923-7775,3練健生石食第22045号,2021/12/24,2021/12/24,2027/12/31,,199,腹八分目　大泉学園店,03,03-3923-7775,,,,東京都　練馬区東大泉１丁目３０番１５号,東京都練馬区東大泉１丁目３０番１５号,,75342,13,13120,東大泉１,,2021/12/24,2021/12/24,,2027/12/31,株式会社海峡,金井弘教,,,,,,,,,3練健生石食第22045号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,腹八分目大泉学園店03-3923-77757534213120,49d0d04b-8742-4b61-8f51-104f1e5ae992,株式会社海峡,02a8f981-1553-4046-8874-6e7dfcf1319c,4290ea62-f320-4a28-b6ec-87d2ca4e6303,2021/12/24,腹八分目　大泉学園店,腹八分目大泉学園店,株式会社海峡
スナック奈々,東京都,練馬区東大泉一丁目３３番１１号  Ａマート２Ｆ　Ｂ号,練馬区東大泉１丁目３３番１１号,Ａマート２Ｆ Ｂ号,市川吹子,飲食店営業,,3978-5958,3練健生石食第21928号,2021/12/6,2021/12/6,2027/12/31,,199,スナック奈々,03,03-3978-5958,,,,東京都　練馬区東大泉１丁目３３番１１号,東京都練馬区東大泉１丁目３３番１１号,Ａマート２Ｆ Ｂ号,75342,13,13120,東大泉１,,2021/12/06,2021/12/06,,2027/12/31,,市川吹子 ,,,,,,,,,3練健生石食第21928号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,スナック奈03-3978-59587534213120,47812672-511e-4402-9a42-b81694d3e50e,,personal,4ce2c007-828e-425c-9122-1a0e8165a5ae,2021/12/06,スナック奈々,スナック奈,
合同会社西友ＬＩＶＩＮオズ大泉店,東京都,練馬区東大泉二丁目１０番１１号,練馬区東大泉２丁目１０番１１号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保　恒夫,3978-4111,3練健生石食第22024号,2021/12/14,2021/12/14,2028/12/31,,199,合同会社西友ＬＩＶＩＮオズ大泉店,03,03-3978-4111,,,,東京都　練馬区東大泉２丁目１０番１１号,東京都練馬区東大泉２丁目１０番１１号,,75343,13,13120,東大泉２,,2021/12/14,2021/12/14,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,,,,,,,,,,3練健生石食第22024号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友ＬＩＶＩＮオズ大泉店03-3978-41117534313120,5df1df90-cc45-42e1-8ec8-cec21c0af984,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫,cc814089-9c24-4ce6-a786-2fc6f5c42c5c,5ee891a3-1527-48a9-9ecc-1f6159813334,2021/12/14,合同会社西友ＬＩＶＩＮオズ大泉店,合同会社西友ＬＩＶＩＮオズ大泉店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保　恒夫
なか卯大泉学園店,東京都,練馬区東大泉三丁目１９番６号  第一豊田ビル１Ｆ,練馬区東大泉３丁目１９番６号, 第一豊田ビル１Ｆ,株式会社なか卯,その他の食料・飲料販売業,平山賢太郎,,3練健生石食第22004号,2021/12/2,2021/12/2,,,199,なか卯大泉学園店,03,,,,,東京都　練馬区東大泉３丁目１９番６号,東京都練馬区東大泉３丁目１９番６号, 第一豊田ビル１Ｆ,75344,13,13120,東大泉３,,2021/12/02,2021/12/02,,,株式会社なか卯,平山賢太郎,,,,,,,,,3練健生石食第22004号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,なか卯大泉学園店7534413120,4ecd038a-e51e-4673-8499-7ef2e6fc0c23,株式会社なか卯,460e2fee-8d0a-4c47-970b-dbab11570404,a0dd91ee-d60a-4eeb-b836-78045ff8d3b8,2021/12/02,なか卯大泉学園店,なか卯大泉学園店,株式会社なか卯
小料理ほの字,東京都,練馬区東大泉四丁目１１番７号  ケイシンビル１０３号,練馬区東大泉４丁目１１番７号 ,ケイシンビル１０３号,木村千恵,飲食店営業,,3867-7503,3練健生石食第21936号,2021/12/6,2021/12/6,2027/12/31,,199,小料理ほの字,03,03-3867-7503,,,,東京都　練馬区東大泉４丁目１１番７号 ,東京都練馬区東大泉４丁目１１番７号,ケイシンビル１０３号,75345,13,13120,東大泉４,,2021/12/06,2021/12/06,,2027/12/31,,木村千恵 ,,,,,,,,,3練健生石食第21936号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,小料理ほの字03-3867-75037534513120,dcd58d25-8dca-4242-b6d3-e81a241b8e58,,personal,58134fae-04ac-4490-a7f6-87de3155ffcc,2021/12/06,小料理ほの字,小料理ほの字,
タイレストラン・マライ,東京都,練馬区東大泉五丁目４１番６号  サンクレスト大泉,練馬区東大泉５丁目４１番６号, サンクレスト大泉,スライ・ジャトロンカモン,飲食店営業,,5387-3005,3練健生石食第21938号,2021/12/8,2021/12/8,2027/12/31,,199,タイレストラン・マライ,03,03-5387-3005,,,,東京都　練馬区東大泉５丁目４１番６号,東京都練馬区東大泉５丁目４１番６号, サンクレスト大泉,75346,13,13120,東大泉５,,2021/12/08,2021/12/08,,2027/12/31,,スライ・ジャトロンカモン ,,,,,,,,,3練健生石食第21938号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,タイレストランマライ03-5387-30057534613120,ec848b86-473f-4b61-a9b8-810e8cb4c63b,,personal,e4a8aef1-6029-44eb-99ba-cada950a8ef5,2021/12/08,タイレストラン・マライ,タイレストランマライ,
ｋｏｎａｃｏｎａｐａｎ．,東京都,練馬区東大泉六丁目４４番６号,練馬区東大泉６丁目４４番６号,,村明日香,飲食店営業,,,3練健生石食第21905号,2021/12/2,2021/12/2,2027/12/31,,199,ｋｏｎａｃｏｎａｐａｎ．,03,,,,,東京都　練馬区東大泉６丁目４４番６号,東京都練馬区東大泉６丁目４４番６号,,75347,13,13120,東大泉６,,2021/12/02,2021/12/02,,2027/12/31,,村明日香 ,,,,,,,,,3練健生石食第21905号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ｋｏｎａｃｏｎａｐａｎ7534713120,73565f79-4bf5-4a9b-9876-9a2657a3adc0,,personal,cd02ac79-c0bd-4a84-b157-d05a0c7085e8,2021/12/02,ｋｏｎａｃｏｎａｐａｎ．,ｋｏｎａｃｏｎａｐａｎ,
ｋｏｎａｃｏｎａｐａｎ．,東京都,練馬区東大泉六丁目４４番６号,練馬区東大泉６丁目４４番６号,,村明日香,菓子製造業,,,3練健生石食第21675号,2021/12/2,2021/12/2,2027/12/31,,199,ｋｏｎａｃｏｎａｐａｎ．,03,,,,,東京都　練馬区東大泉６丁目４４番６号,東京都練馬区東大泉６丁目４４番６号,,75347,13,13120,東大泉６,,2021/12/02,2021/12/02,,2027/12/31,,村明日香 ,,,,,,,,,3練健生石食第21675号,,菓子製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,ｋｏｎａｃｏｎａｐａｎ7534713120,73565f79-4bf5-4a9b-9876-9a2657a3adc0,,personal,893a68cc-4594-4b9c-9467-0e2e408ae961,2021/12/02,ｋｏｎａｃｏｎａｐａｎ．,ｋｏｎａｃｏｎａｐａｎ,
エスビィ・プラス練馬東大泉店,東京都,練馬区東大泉六丁目４８番１号,練馬区東大泉６丁目４８番１号,,株式会社いなげや,飲食店営業,本杉　吉員,3923-9793,3練健生石食第22013号,2021/12/16,2021/12/16,2028/12/31,,199,エスビィ・プラス練馬東大泉店,03,03-3923-9793,,,,東京都　練馬区東大泉６丁目４８番１号,東京都練馬区東大泉６丁目４８番１号,,75347,13,13120,東大泉６,,2021/12/16,2021/12/16,,2028/12/31,株式会社いなげや,本杉　吉員,,,,,,,,,3練健生石食第22013号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,エスビィプラス練馬東大泉店03-3923-97937534713120,ebf8f9a5-61f9-4c10-b4ef-eb6ac456810a,株式会社いなげや,caa6cddb-6025-44f6-bdd3-41a42640c8d1,04d62d35-849e-4879-b212-dba7951e1e55,2021/12/16,エスビィ・プラス練馬東大泉店,エスビィプラス練馬東大泉店,株式会社いなげや
ひまわりキッズルーム大泉,東京都,練馬区東大泉六丁目５２番１号  ＷＩＣＳビル２階,練馬区東大泉６丁目５２番１号, ＷＩＣＳビル２階,サンフラワー・Ａ株式会社,集団給食施設,盛山利紀,0359330016,3練健生石食第22022号,2021/12/8,2021/12/8,,,199,ひまわりキッズルーム大泉,03,03-5933-0016,,,,東京都　練馬区東大泉６丁目５２番１号,東京都練馬区東大泉６丁目５２番１号, ＷＩＣＳビル２階,75347,13,13120,東大泉６,,2021/12/08,2021/12/08,,,サンフラワー・Ａ株式会社,盛山利紀,,,,,,,,,3練健生石食第22022号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,ひまわりキッズルム大泉03-5933-00167534713120,cf294e85-575b-49e8-b5ab-d9da09081f45,サンフラワー・Ａ株式会社,f6b4f626-333f-4bd6-80d7-2d77daa8def8,aae51f48-6be8-4f53-9ff9-ff7f2db732f5,2021/12/08,ひまわりキッズルーム大泉,ひまわりキッズルム大泉,サンフラワー・Ａ株式会社
Ｏｒ　ｂｌａｎｃ,東京都,練馬区西大泉二丁目８番４０号,練馬区西大泉２丁目８番４０号,,猪狩敬子,その他の食料・飲料販売業,,,3練健生石食第22012号,2021/12/6,2021/12/6,,,199,Ｏｒ　ｂｌａｎｃ,03,,,,,東京都　練馬区西大泉２丁目８番４０号,東京都練馬区西大泉２丁目８番４０号,,75351,13,13120,西大泉２,,2021/12/06,2021/12/06,,,,猪狩敬子 ,,,,,,,,,3練健生石食第22012号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,Ｏｒｂｌａｎｃ7535113120,da7456be-c0c3-46d0-8da5-e8547b4a1bd0,,personal,c126df9c-963e-43ce-9c1f-a2ce30043a69,2021/12/06,Ｏｒ　ｂｌａｎｃ,Ｏｒｂｌａｎｃ,
ゆとり膳,東京都,練馬区南大泉一丁目１３番１４号,練馬区南大泉１丁目１３番１４号,,株式会社ＶｉｖｉｄＰｏｉｎｔ,その他の食料・飲料販売業,野﨑武,03-5935-8452,3練健生石食第22054号,2021/12/27,2021/12/27,,,199,ゆとり膳,03,03-5935-8452,,,,東京都　練馬区南大泉１丁目１３番１４号,東京都練馬区南大泉１丁目１３番１４号,,75316,13,13120,南大泉１,,2021/12/27,2021/12/27,,,株式会社ＶｉｖｉｄＰｏｉｎｔ,野﨑武,,,,,,,,,3練健生石食第22054号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ゆとり膳03-5935-84527531613120,74fd71b4-d717-48b2-96fd-f85754659fe8,株式会社ＶｉｖｉｄＰｏｉｎｔ,59f211de-4f13-4088-82df-a66bf765bc39,6c662636-6381-4005-9fd3-f57b81a11997,2021/12/27,ゆとり膳,ゆとり膳,株式会社ＶｉｖｉｄＰｏｉｎｔ
