https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Bee　House,豊島区,南池袋一丁目22番2号,5391-1767,株式会社SeeD,1-28-00312,平成28年5月23日,【~R3.5】飲食店営業(飲食一般),3226-4821,平成28年5月23日,新規,,195,Bee　House,03,03-5391-1767,,,,豊島区　南池袋一丁目22番2号,東京都豊島区南池袋１丁目２２番２号,,74835,13,13116,南池袋１,,2016/05/23,2016/05/23,,,株式会社SeeD,,03-3226-4821,,,,,,,,1-28-00312,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＢｅｅＨｏｕｓｅ03-5391-17677483513116,dc4735bf-57e5-4722-b635-4ae91ee0083b,株式会社ＳｅｅＤ,4668afc7-555c-4d1a-9f39-b3c440ef94ef,7fd0ccc2-3fd4-4d94-af34-385f607570c7,2016/05/23,Ｂｅｅ　Ｈｏｕｓｅ,ＢｅｅＨｏｕｓｅ,株式会社ＳｅｅＤ
カラオケまねきねこ　池袋東口店,豊島区,南池袋一丁目23番6号,6903-1514,株式会社コシダカ,1-29-02368,平成30年3月26日,【~R3.5】飲食店営業(飲食一般),03-6403-5711,平成30年3月26日,新規,,195,カラオケまねきねこ　池袋東口店,03,03-6903-1514,,,,豊島区　南池袋一丁目23番6号,東京都豊島区南池袋１丁目２３番６号,,74835,13,13116,南池袋１,,2018/03/26,2018/03/26,,,株式会社コシダカ,,03-6403-5711,,,,,,,,1-29-02368,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,カラオケまねきねこ池袋東口店03-6903-15147483513116,c9b55d34-972a-4e40-9c00-109216dee67a,株式会社コシダカ,f4425e13-1493-433e-82de-7669736f97f1,e7c59eea-1816-40b9-91ba-11edada6f1ea,2018/03/26,カラオケまねきねこ　池袋東口店,カラオケまねきねこ池袋東口店,株式会社コシダカ
兜·バコンチャオ,豊島区,南池袋一丁目27番8号,03-6812-1058,合同会社イロン,1-03-01159,令和3年11月4日,1飲食店営業(一般),,令和3年11月4日,新規,,195,兜·バコンチャオ,03,03-6812-1058,,,,豊島区　南池袋一丁目27番8号,東京都豊島区南池袋１丁目２７番８号,,74835,13,13116,南池袋１,,2021/11/04,2021/11/04,,,合同会社イロン,,,,,,,,,,1-03-01159,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,兜バコンチャオ03-6812-10587483513116,a9a42b75-d1fe-4844-b0a0-df241d7e330e,合同会社イロン,7e3b9b87-1daa-43b3-bf4a-2dcabad829eb,c1154b7e-b5ea-4f59-88fb-d0ca72075dbb,2021/11/04,兜・バコンチャオ,兜バコンチャオ,合同会社イロン
Pas　lache,豊島区,南池袋二丁目10番3号,3971-8155,株式会社青山商店,1-31-00372,令和元年7月1日,【~R3.5】飲食店営業(飲食一般),6912-8819,平成24年6月29日,更新,,195,Pas　lache,03,03-3971-8155,,,,豊島区　南池袋二丁目10番3号,東京都豊島区南池袋２丁目１０番３号,,74836,13,13116,南池袋２,,2012/06/29,2019/07/01,,,株式会社青山商店,,03-6912-8819,,,,,,,,1-31-00372,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,Ｐａｓｌａｃｈｅ03-3971-81557483613116,3df49d06-e896-42ca-b664-30ad3664f510,株式会社青山商店,0c93c76e-545f-49b3-87c3-a5fbd2077c18,53632461-fbdd-460b-a0d0-e37c91688b06,2019/07/01,Ｐａｓ　ｌａｃｈｅ,Ｐａｓｌａｃｈｅ,株式会社青山商店
紅谷,豊島区,南池袋二丁目11番4号,3971-3623,加藤喜則,1-03-01168,令和3年11月8日,11菓子製造業,※※※※※,令和3年11月8日,新規,,195,紅谷,03,03-3971-3623,,,,豊島区　南池袋二丁目11番4号,東京都豊島区南池袋２丁目１１番４号,,74836,13,13116,南池袋２,,2021/11/08,2021/11/08,,,,加藤喜則,,,,,,,,,1-03-01168,,菓子製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,紅谷03-3971-36237483613116,bd75f045-62f9-466e-9c64-aec8dbd4572d,,personal,a12bbd0a-fd1b-4a37-817e-b11122c699e5,2021/11/08,紅谷,紅谷,
四十八漁場　池袋東口店,豊島区,南池袋二丁目16番8号,,株式会社エー·ピーカンパニー,1-30-01019,平成30年10月1日,【~R3.5】飲食店営業(飲食一般),6435-8440,平成23年9月30日,更新,,195,四十八漁場　池袋東口店,03,,,,,豊島区　南池袋二丁目16番8号,東京都豊島区南池袋２丁目１６番８号,,74836,13,13116,南池袋２,,2011/09/30,2018/10/01,,,株式会社エー·ピーカンパニー,,03-6435-8440,,,,,,,,1-30-01019,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,四十八漁場池袋東口店7483613116,fcde8e41-8c5f-402d-b81d-9ef9024f3ce8,株式会社エー・ピーカンパニー,b7c973c5-ff3e-41d0-97ca-5fb980772d97,d30dbcef-b7b3-4173-9fc3-57163ed49a87,2018/10/01,四十八漁場　池袋東口店,四十八漁場池袋東口店,株式会社エー・ピーカンパニー
宮崎県日南市　塚田農場　池袋東口本店,豊島区,南池袋二丁目16番8号,5928-5611,株式会社エー·ピーカンパニー,1-30-01018,平成30年10月1日,【~R3.5】飲食店営業(飲食一般),6435-8440,平成23年9月26日,更新,,195,宮崎県日南市　塚田農場　池袋東口本店,03,03-5928-5611,,,,豊島区　南池袋二丁目16番8号,東京都豊島区南池袋２丁目１６番８号,,74836,13,13116,南池袋２,,2011/09/26,2018/10/01,,,株式会社エー·ピーカンパニー,,03-6435-8440,,,,,,,,1-30-01018,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,宮崎県日南市塚田農場池袋東口本店03-5928-56117483613116,9851d4c6-dcad-4af1-9135-59d32abd031f,株式会社エー・ピーカンパニー,b7c973c5-ff3e-41d0-97ca-5fb980772d97,f81989f3-16a4-426b-8221-21f5e6f43446,2018/10/01,宮崎県日南市　塚田農場　池袋東口本店,宮崎県日南市塚田農場池袋東口本店,株式会社エー・ピーカンパニー
ファミリーマート　南池袋パーク通り店,豊島区,南池袋二丁目26番7号,5911-1421,株式会社リッチ,1-03-01257,令和3年11月29日,1飲食店営業(一般),,令和3年11月29日,新規,,195,ファミリーマート　南池袋パーク通り店,03,03-5911-1421,,,,豊島区　南池袋二丁目26番7号,東京都豊島区南池袋２丁目２６番７号,,74836,13,13116,南池袋２,,2021/11/29,2021/11/29,,,株式会社リッチ,,,,,,,,,,1-03-01257,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ファミリマト南池袋パク通り店03-5911-14217483613116,979d8b8c-137d-402e-9728-82af430a4fd4,株式会社リッチ,37189c51-ac82-433e-803a-7f5307f06afe,91e3d1da-4e24-4aa8-9e4c-15d7d0322a5c,2021/11/29,ファミリーマート　南池袋パーク通り店,ファミリマト南池袋パク通り店,株式会社リッチ
カフェ·ド·クリエ　京王プレッソイン池袋店,豊島区,南池袋二丁目29番11号,5391-1281,株式会社ポッカクリエイト,1-27-01975,平成28年2月1日,【~R3.5】飲食店営業(飲食一般),03-3267-8012,平成21年1月27日,更新,,195,カフェ·ド·クリエ　京王プレッソイン池袋店,03,03-5391-1281,,,,豊島区　南池袋二丁目29番11号,東京都豊島区南池袋２丁目２９番１１号,,74836,13,13116,南池袋２,,2009/01/27,2016/02/01,,,株式会社ポッカクリエイト,,03-3267-8012,,,,,,,,1-27-01975,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,カフェド·クリエ京王プレッソイン池袋店03-5391-12817483613116,1e13edc9-42f1-40f9-a8e7-faddf6536235,株式会社ポッカクリエイト,8dde0714-df80-4614-99d0-23ab3c48724e,abdff2a3-9f47-4680-85eb-adfccf821530,2016/02/01,カフェ・ド·クリエ　京王プレッソイン池袋店,カフェド·クリエ京王プレッソイン池袋店,株式会社ポッカクリエイト
株式会社平喜屋,豊島区,南池袋二丁目29番16号,03-3987-0081,株式会社平喜屋,1-03-01280,令和3年12月1日,1飲食店営業(一般),03-3987-0081,令和3年12月1日,新規,,195,株式会社平喜屋,03,03-3987-0081,,,,豊島区　南池袋二丁目29番16号,東京都豊島区南池袋２丁目２９番１６号,,74836,13,13116,南池袋２,,2021/12/01,2021/12/01,,,株式会社平喜屋,,03-3987-0081,,,,,,,,1-03-01280,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,株式会社平喜屋03-3987-00817483613116,20d447a1-07ec-43cb-9875-6aded329c4cd,株式会社平喜屋,a58a020d-3911-4ce2-9d06-6caefaf9ce9f,63632f20-ff7a-4292-85cc-f44f3504dc62,2021/12/01,株式会社平喜屋,株式会社平喜屋,株式会社平喜屋
嬉嬉豚とんかつ『君に、揚げる。』,豊島区,南池袋二丁目47番7号,03-6709-4779,株式会社GENIUS. RK,1-03-01260,令和3年11月26日,1飲食店営業(一般),03-6384-4323,令和3年11月26日,新規,,195,嬉嬉豚とんかつ『君に、揚げる。』,03,03-6709-4779,,,,豊島区　南池袋二丁目47番7号,東京都豊島区南池袋２丁目４７番７号,,74836,13,13116,南池袋２,,2021/11/26,2021/11/26,,,株式会社GENIUS. RK,,03-6384-4323,,,,,,,,1-03-01260,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,嬉嬉豚とんかつ君に揚げる03-6709-47797483613116,b86b2987-fc4f-4923-b2a0-1e884b874d0e,株式会社ＧＥＮＩＵＳ．　ＲＫ,27fafadc-2b58-4e57-af93-ba75ca285dd2,7b522b3b-1fe4-40de-8df2-a4108b6b5195,2021/11/26,嬉嬉豚とんかつ『君に、揚げる。』,嬉嬉豚とんかつ君に揚げる,株式会社ＧＥＮＩＵＳ．　ＲＫ
和牛焼肉バル　KURAMOTO,豊島区,南池袋三丁目13番7号,6907-3129,株式会社KDF,1-03-01165,令和3年11月18日,1飲食店営業(一般),6907-3129,令和3年11月18日,新規,,195,和牛焼肉バル　KURAMOTO,03,03-6907-3129,,,,豊島区　南池袋三丁目13番7号,東京都豊島区南池袋３丁目１３番７号,,74837,13,13116,南池袋３,,2021/11/18,2021/11/18,,,株式会社KDF,,03-6907-3129,,,,,,,,1-03-01165,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,和牛焼肉バルＫＵＲＡＭＯＴＯ03-6907-31297483713116,5d665ffd-5231-43f3-85a5-39dc7b788419,株式会社ＫＤＦ,04c71eae-ec73-4171-a91f-4f92ab2037c6,c5b30e8b-2071-45a5-b8a1-7373121cb934,2021/11/18,和牛焼肉バル　ＫＵＲＡＭＯＴＯ,和牛焼肉バルＫＵＲＡＭＯＴＯ,株式会社ＫＤＦ
D_ground　tokyo,豊島区,南池袋四丁目19番9号,,株式会社ディグニティ,1-03-01278,,1飲食店営業(一般),5979-8736,,新規,,195,D_ground　tokyo,03,,,,,豊島区　南池袋四丁目19番9号,東京都豊島区南池袋４丁目１９番９号,,74838,13,13116,南池袋４,,,,,,株式会社ディグニティ,,03-5979-8736,,,,,,,,1-03-01278,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,Ｄｇｒｏｕｎｄｔｏｋｙｏ7483813116,061236d9-72fd-40b8-9b0d-4062f52788a4,株式会社ディグニティ,4ef72a49-52e6-400d-8a40-a3dcea565032,e680163a-2dab-4c00-9e98-d5a11560d05a,2021/11/01,Ｄ＿ｇｒｏｕｎｄ　ｔｏｋｙｏ,Ｄｇｒｏｕｎｄｔｏｋｙｏ,株式会社ディグニティ
ニューデイズメトロポリタン池袋,豊島区,西池袋一丁目6番1号,,株式会社JR東日本クロスステーション,1-03-01190,令和3年11月24日,1飲食店営業(一般),050-3644-7177,令和3年11月24日,新規,,195,ニューデイズメトロポリタン池袋,03,,,,,豊島区　西池袋一丁目6番1号,東京都豊島区西池袋１丁目６番１号,,74821,13,13116,西池袋１,,2021/11/24,2021/11/24,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,1-03-01190,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ニュデイズメトロポリタン池袋7482113116,6bdddcfa-7ddd-40d7-93a3-232773b30e55,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,c53dbb64-c4be-46c3-aab6-7985ecc37663,2021/11/24,ニューデイズメトロポリタン池袋,ニュデイズメトロポリタン池袋,株式会社ＪＲ東日本クロスステーション
トラストワン池袋駅前,豊島区,西池袋一丁目19番7号,6384-4050,和田信一,1-03-01242,令和3年11月18日,1飲食店営業(一般),,令和3年11月18日,新規,,195,トラストワン池袋駅前,03,03-6384-4050,,,,豊島区　西池袋一丁目19番7号,東京都豊島区西池袋１丁目１９番７号,,74821,13,13116,西池袋１,,2021/11/18,2021/11/18,,,,和田信一,,,,,,,,,1-03-01242,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,トラストワン池袋駅前03-6384-40507482113116,ed8cc250-e2d0-4d21-99bb-7f59c154b921,,personal,905627de-2bf7-4eae-8bd0-28c8c42d9964,2021/11/18,トラストワン池袋駅前,トラストワン池袋駅前,
Maya,豊島区,西池袋一丁目20番6号,5927-1770,株式会社チラクル,1-03-01158,令和3年11月25日,1飲食店営業(一般),03-6382-8863,令和3年11月25日,新規,,195,Maya,03,03-5927-1770,,,,豊島区　西池袋一丁目20番6号,東京都豊島区西池袋１丁目２０番６号,,74821,13,13116,西池袋１,,2021/11/25,2021/11/25,,,株式会社チラクル,,03-6382-8863,,,,,,,,1-03-01158,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,Ｍａｙａ03-5927-17707482113116,4fdb36cc-fa67-47af-8724-e654f46fedce,株式会社チラクル,28b3f6b7-f8b3-4f81-bd26-d1a90784547a,70acc610-0a61-49bd-baf6-711584f2947c,2021/11/25,Ｍａｙａ,Ｍａｙａ,株式会社チラクル
永祥生煎館,豊島区,西池袋一丁目28番2号,6914-1566,株式会社永勝,1-03-01202,令和3年11月25日,1飲食店営業(一般·中華),03-5926-8087,令和3年11月25日,新規,,195,永祥生煎館,03,03-6914-1566,,,,豊島区　西池袋一丁目28番2号,東京都豊島区西池袋１丁目２８番２号,,74821,13,13116,西池袋１,,2021/11/25,2021/11/25,,,株式会社永勝,,03-5926-8087,,,,,,,,1-03-01202,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,永祥生煎館03-6914-15667482113116,037efcd4-61f4-4259-a820-d4c837168e1f,株式会社永勝,00440d78-544d-40a8-95e4-253b363c26e0,17735604-e24a-43a9-baa8-ff5ab0c560a8,2021/11/25,永祥生煎館,永祥生煎館,株式会社永勝
羊小厨(猛男、阿椒、小鶏),豊島区,西池袋一丁目35番2号,,NEW VIEW株式会社,1-03-01250,令和3年11月22日,1飲食店営業(一般·中華),6273-8876,令和3年11月22日,新規,,195,羊小厨(猛男、阿椒、小鶏),03,,,,,豊島区　西池袋一丁目35番2号,東京都豊島区西池袋１丁目３５番２号,,74821,13,13116,西池袋１,,2021/11/22,2021/11/22,,,NEW VIEW株式会社,,03-6273-8876,,,,,,,,1-03-01250,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,羊小厨猛男阿椒小鶏7482113116,60214675-6429-4a73-b4cc-7beb179e363a,ＮＥＷ　ＶＩＥＷ株式会社,21eb1fea-c657-4ae1-bd3d-e6b3955f38af,214ddede-1e6d-4bd2-9ac0-bc62083d7323,2021/11/22,羊小厨（猛男、阿椒、小鶏）,羊小厨猛男阿椒小鶏,ＮＥＷ　ＶＩＥＷ株式会社
串焼酒蔵　弁慶,豊島区,西池袋一丁目35番7号,3971-5217,株式会社マキノ商事,1-03-01167,令和3年11月12日,1飲食店営業(一般),3971-5217,令和3年11月12日,新規,,195,串焼酒蔵　弁慶,03,03-3971-5217,,,,豊島区　西池袋一丁目35番7号,東京都豊島区西池袋１丁目３５番７号,,74821,13,13116,西池袋１,,2021/11/12,2021/11/12,,,株式会社マキノ商事,,03-3971-5217,,,,,,,,1-03-01167,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,串焼酒蔵弁慶03-3971-52177482113116,5aaccc99-d2d6-4944-b81e-3be4a3d7cae6,株式会社マキノ商事,018dabc4-1891-4b72-b39a-4f96b819d35a,2e56749d-82a1-4c08-badb-b8b3ae4825ca,2021/11/12,串焼酒蔵　弁慶,串焼酒蔵弁慶,株式会社マキノ商事
どーぱみんシグマ,豊島区,西池袋一丁目38番6号,6384-7924,株式会社ディメンショントロワ,1-03-01176,令和3年11月11日,1飲食店営業(一般),03-5944-9339,令和3年11月11日,新規,,195,どーぱみんシグマ,03,03-6384-7924,,,,豊島区　西池袋一丁目38番6号,東京都豊島区西池袋１丁目３８番６号,,74821,13,13116,西池袋１,,2021/11/11,2021/11/11,,,株式会社ディメンショントロワ,,03-5944-9339,,,,,,,,1-03-01176,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,どぱみんシグマ03-6384-79247482113116,890661de-e75a-4bb6-af7a-d05038a2349c,株式会社ディメンショントロワ,6cb44f15-7d03-4749-8944-a442bde78837,0a127f83-305c-4a4f-8908-fbae80e41b53,2021/11/11,どーぱみんシグマ,どぱみんシグマ,株式会社ディメンショントロワ
shula'na,豊島区,西池袋一丁目38番6号,,白石 玲,1-03-01233,令和3年11月26日,1飲食店営業(一般),,令和3年11月26日,新規,,195,shula'na,03,,,,,豊島区　西池袋一丁目38番6号,東京都豊島区西池袋１丁目３８番６号,,74821,13,13116,西池袋１,,2021/11/26,2021/11/26,,,,白石 玲,,,,,,,,,1-03-01233,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｓｈｕｌａｎａ7482113116,88c6e999-7b98-4361-bfbe-2a0f328db143,,personal,7caf76aa-5e7e-49b4-a1a2-6e136268db12,2021/11/26,ｓｈｕｌａ＇ｎａ,ｓｈｕｌａｎａ,
Peek　a　Boo,豊島区,西池袋一丁目41番2号,,影山 将司,1-03-01282,令和3年12月1日,1飲食店営業(一般),※※※※※,令和3年12月1日,新規,,195,Peek　a　Boo,03,,,,,豊島区　西池袋一丁目41番2号,東京都豊島区西池袋１丁目４１番２号,,74821,13,13116,西池袋１,,2021/12/01,2021/12/01,,,,影山 将司,,,,,,,,,1-03-01282,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＰｅｅｋａＢｏｏ7482113116,ec97d085-5dfc-41d0-95d8-3aa3104bb394,,personal,4c2f8ac6-6eba-4c18-aeb8-c66968cc0657,2021/12/01,Ｐｅｅｋ　ａ　Ｂｏｏ,ＰｅｅｋａＢｏｏ,
Mrs.J Ikebukuro,豊島区,西池袋一丁目41番8号,3981-8555,株式会社エクストリーム,1-31-00572,令和元年7月23日,【~R3.5】飲食店営業(飲食バー),03-6233-7923,令和元年7月23日,新規,,195,Mrs.J Ikebukuro,03,03-3981-8555,,,,豊島区　西池袋一丁目41番8号,東京都豊島区西池袋１丁目４１番８号,,74821,13,13116,西池袋１,,2019/07/23,2019/07/23,,,株式会社エクストリーム,,03-6233-7923,,,,,,,,1-31-00572,,飲食店営業,(飲食バー),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＭｒｓＪＩｋｅｂｕｋｕｒｏ03-3981-85557482113116,13e78bc1-b5ab-4fa7-8b76-8e482cdd5deb,株式会社エクストリーム,46893dff-0346-4ae2-b466-6c39d62ea666,0f0ec194-0ba4-410d-a379-608f4853d58b,2019/07/23,Ｍｒｓ．Ｊ　Ｉｋｅｂｕｋｕｒｏ,ＭｒｓＪＩｋｅｂｕｋｕｒｏ,株式会社エクストリーム
セリーヌ·フォレステイエ,豊島区,西池袋一丁目43番3号,03-6914-0227,和欣誼株式会社,1-03-01157,令和3年11月4日,1飲食店営業(一般),03-5927-8867,令和3年11月4日,新規,,195,セリーヌ·フォレステイエ,03,03-6914-0227,,,,豊島区　西池袋一丁目43番3号,東京都豊島区西池袋１丁目４３番３号,,74821,13,13116,西池袋１,,2021/11/04,2021/11/04,,,和欣誼株式会社,,03-5927-8867,,,,,,,,1-03-01157,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,セリヌフォレステイエ03-6914-02277482113116,6e0467ba-ba94-4b5d-a2ee-f4b50471682e,和欣誼株式会社,2441e06d-38d0-4ad1-9f5b-a957970e9146,35000d2f-a6ef-48c3-a2df-0b2091425905,2021/11/04,セリーヌ・フォレステイエ,セリヌフォレステイエ,和欣誼株式会社
