https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
琉球銀行　東風平支店　食堂,,琉球銀行　東風平支店　食堂　,八重瀬町字伊覇２２７,,098-998-6530  ,飲食店営業,食堂,コスモフーズ株式会社,098-862-9241  ,R03.12.21,R03.12.21,第05202101085号,,466,琉球銀行　東風平支店　食堂　,098,098-998-6530,,,,八重瀬町字伊覇２２７,沖縄県島尻郡八重瀬町字伊覇２２７,,216509,47,47362,伊覇,,2021/12/21,2021/12/21,,,コスモフーズ株式会社,,098-862-9241  ,,,,,,,,第05202101085号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,琉球銀行東風平支店食堂098-998-653021650947362,df527006-67a4-47ba-b895-b61652f897b5,コスモフーズ株式会社,1eefc06c-8a23-42f2-bea3-df7b1b0dfa52,5b8bbc61-7825-4806-817c-790ae4162636,2021/12/21,琉球銀行　東風平支店　食堂　,琉球銀行東風平支店食堂,コスモフーズ株式会社
沖縄製粉　東風平事業所,,沖縄製粉　東風平事業所　,八重瀬町字富盛１０４５,,098-998-5850  ,麺類製造業,めん類製造業,沖縄製粉株式会社,098-868-3141  ,R04.01.31,R04.01.31,第05202101200号,,466,沖縄製粉　東風平事業所　,098,098-998-5850,,,,八重瀬町字富盛１０４５,沖縄県島尻郡八重瀬町富盛１０４５,,701721,47,47362,富盛,,2022/01/31,2022/01/31,,,沖縄製粉株式会社,,098-868-3141  ,,,,,,,,第05202101200号,,麺類製造業, めん類製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,沖縄製粉東風平事業所098-998-585070172147362,e021a2c2-792e-428b-82fb-64776ade88cd,沖縄製粉株式会社,3154b5dd-f717-4c8e-bf01-90e9373e0ace,75731236-60a7-464d-9672-165917dc3758,2022/01/31,沖縄製粉　東風平事業所　,沖縄製粉東風平事業所,沖縄製粉株式会社
ドミノ・ピザ　南風原町店,,ドミノ・ピザ　南風原町店　,南風原町字与那覇５４３－２,サンハイムうえはら１Ｆ,098-882-6800  ,飲食店営業,仕出し屋,株式会社Ｐｈｏｅｎｉｘ,098-870-2777  ,R04.01.14,R04.01.14,第05202101120号,,466,ドミノ・ピザ　南風原町店　,098,098-882-6800,,,,南風原町字与那覇５４３－２,沖縄県島尻郡南風原町字与那覇５４３－２,サンハイムうえはら１Ｆ,216408,47,47350,与那覇,,2022/01/14,2022/01/14,,,株式会社Ｐｈｏｅｎｉｘ,,098-870-2777  ,,,,,,,,第05202101120号,,飲食店営業, 仕出し屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ドミノピザ南風原町店098-882-680021640847350,1e280f2c-10e7-4159-ab41-c47a8e338a1f,株式会社Ｐｈｏｅｎｉｘ,518c6b4d-e051-4a18-b267-a38f1275739f,82497778-d967-4582-9e52-60af2ef548bb,2022/01/14,ドミノ・ピザ　南風原町店　,ドミノピザ南風原町店,株式会社Ｐｈｏｅｎｉｘ
ローソン　浦添内間四丁目店,,ローソン　浦添内間四丁目店　,浦添市内間４－１－５,,098-874-6757  ,飲食店営業,そうざい,株式会社　ローソン沖縄,098-874-3594  ,R04.01.14,R04.01.14,第05202101121号,,466,ローソン　浦添内間四丁目店　,098,098-874-6757,,,,浦添市内間４－１－５,沖縄県浦添市内間４－１－５,,215652,47,47208,内間４,,2022/01/14,2022/01/14,,,株式会社　ローソン沖縄,,098-874-3594  ,,,,,,,,第05202101121号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン浦添内間四丁目店098-874-675721565247208,487fd487-7031-4a88-aa90-cc31a117dcad,株式会社ローソン沖縄,3d8814e9-0658-429b-a0b2-c039eec0e173,1a3f6ed7-d00d-4c4a-b6b9-05b585c21c8e,2022/01/14,ローソン　浦添内間四丁目店　,ロソン浦添内間四丁目店,株式会社ローソン沖縄
株式会社かわまん商店,,株式会社かわまん商店　,浦添市宮城１－２４－１,,098-875-1455  ,水産製品製造業,水産製品,株式会社かわまん商店,098-875-1455  ,R04.01.31,R04.01.31,第05202101198号,,466,株式会社かわまん商店　,098,098-875-1455,,,,浦添市宮城１－２４－１,沖縄県浦添市宮城１－２４－１,,215703,47,47208,宮城１,,2022/01/31,2022/01/31,,,株式会社かわまん商店,,098-875-1455  ,,,,,,,,第05202101198号,,水産製品製造業, 水産製品,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,92,,株式会社かわまん商店098-875-145521570347208,9aeb60bd-4c81-40eb-b676-62184f94d2ca,株式会社かわまん商店,50cde50d-de4f-465e-ad60-aed9207e32a5,df76911e-4cc7-486b-8d94-faeb65bf84fd,2022/01/31,株式会社かわまん商店　,株式会社かわまん商店,株式会社かわまん商店
ドトールコーヒーショップ琉球大学病院店,,ドトールコーヒーショップ琉球大学病院店　,西原町上原２０７,,098-895-1705  ,飲食店営業,食堂,株式会社リウエン商事,098-875-2168  ,R04.02.28,R04.02.28,第05202101284号,,466,ドトールコーヒーショップ琉球大学病院店　,098,098-895-1705,,,,西原町上原２０７,沖縄県中頭郡西原町上原２０７,,216339,47,47329,上原２,,2022/02/28,2022/02/28,,,株式会社リウエン商事,,098-875-2168  ,,,,,,,,第05202101284号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ドトルコヒショップ琉球大学病院店098-895-170521633947329,8950158d-36dc-4c98-890c-f5725791a1a0,株式会社リウエン商事,8c4def14-0a21-4008-a2da-e6a124da2f84,fb79716f-c71f-411a-9546-2a48d38de8ea,2022/02/28,ドトールコーヒーショップ琉球大学病院店　,ドトルコヒショップ琉球大学病院店,株式会社リウエン商事
株式会社沖縄丸一食品,,株式会社沖縄丸一食品　,浦添市西洲２－１０－２,,098-875-3801  ,食肉販売業,食肉販売業,株式会社沖縄丸一食品,098-875-3801  ,R04.02.24,R04.02.24,第05202101270号,,466,株式会社沖縄丸一食品　,098,098-875-3801,,,,浦添市西洲２－１０－２,沖縄県浦添市西洲２－１０－２,,215715,47,47208,西洲２,,2022/02/24,2022/02/24,,,株式会社沖縄丸一食品,,098-875-3801  ,,,,,,,,第05202101270号,,食肉販売業, 食肉販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,株式会社沖縄丸一食品098-875-380121571547208,dcdef2f7-aa09-4826-8351-bba6aed1be69,株式会社沖縄丸一食品,f1c87959-4c8f-4267-9352-f2b997298cd1,f267f03c-d286-41a0-b7ef-fba771338750,2022/02/24,株式会社沖縄丸一食品　,株式会社沖縄丸一食品,株式会社沖縄丸一食品
株式会社沖縄丸一食品,,株式会社沖縄丸一食品　,浦添市西洲２－１０－２,,875-3801      ,そうざい製造業,そうざい製造業,株式会社沖縄丸一食品,098-875-3801  ,R04.02.24,R04.02.24,第05202101269号,,466,株式会社沖縄丸一食品　,098,098-875-3801,,,,浦添市西洲２－１０－２,沖縄県浦添市西洲２－１０－２,,215715,47,47208,西洲２,,2022/02/24,2022/02/24,,,株式会社沖縄丸一食品,,098-875-3801  ,,,,,,,,第05202101269号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社沖縄丸一食品098-875-380121571547208,dcdef2f7-aa09-4826-8351-bba6aed1be69,株式会社沖縄丸一食品,f1c87959-4c8f-4267-9352-f2b997298cd1,6e63229b-d17d-45fe-8f30-3d0a64351be6,2022/02/24,株式会社沖縄丸一食品　,株式会社沖縄丸一食品,株式会社沖縄丸一食品
あぐに製麺所,,あぐに製麺所　,豊見城市真玉橋５４５－２,,              ,麺類製造業,めん類製造業,株式会社　器,098-877-2223  ,R04.01.25,R04.01.25,第05202101163号,,466,あぐに製麺所　,098,,,,,豊見城市真玉橋５４５－２,沖縄県豊見城市真玉橋５４５－２,,216022,47,47212,真玉橋,,2022/01/25,2022/01/25,,,株式会社　器,,098-877-2223  ,,,,,,,,第05202101163号,,麺類製造業, めん類製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,あぐに製麺所21602247212,61b9c21f-d3e9-4db6-9e05-7249f0ecb512,株式会社器,f61cef43-60ad-4a87-8754-2b476318551f,f059d984-3479-4b72-85ae-30fb34259b01,2022/01/25,あぐに製麺所　,あぐに製麺所,株式会社器
あぐに製麺所,,あぐに製麺所　,豊見城市真玉橋５４５－２,,              ,飲食店営業,中華料理,株式会社　器,098-877-2223  ,R04.01.25,R04.01.25,第05202101164号,,466,あぐに製麺所　,098,,,,,豊見城市真玉橋５４５－２,沖縄県豊見城市真玉橋５４５－２,,216022,47,47212,真玉橋,,2022/01/25,2022/01/25,,,株式会社　器,,098-877-2223  ,,,,,,,,第05202101164号,,飲食店営業, 中華料理,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,あぐに製麺所21602247212,61b9c21f-d3e9-4db6-9e05-7249f0ecb512,株式会社器,f61cef43-60ad-4a87-8754-2b476318551f,b2178fa8-dd19-48c7-8284-dffddad5e496,2022/01/25,あぐに製麺所　,あぐに製麺所,株式会社器
コープ牧港,,コープ牧港　,浦添市牧港４－３－１５,,098-875-3466  ,そうざい製造業,そうざい製造業,生活協同組合コープおきなわ,098-879-7753  ,R04.01.21,R04.01.21,第05202101141号,,466,コープ牧港　,098,098-875-3466,,,,浦添市牧港４－３－１５,沖縄県浦添市牧港４－３－１５,,215697,47,47208,牧港４,,2022/01/21,2022/01/21,,,生活協同組合コープおきなわ,,098-879-7753  ,,,,,,,,第05202101141号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,コプ牧港098-875-346621569747208,1b27d1d7-94db-4193-812f-42fd4fd8ad9d,生活協同組合コープおきなわ,c3c29c09-a056-4968-b4ed-71825ec5b4ec,33156935-3a07-4ee2-8f11-373b1e87809c,2022/01/21,コープ牧港　,コプ牧港,生活協同組合コープおきなわ
ファミリーマート南風原与那覇店,,ファミリーマート南風原与那覇店　,南風原町字与那覇１８４－１,,098-888-5885  ,飲食店営業,そうざい,有限会社知名商事,098-888-5885  ,R04.02.21,R04.02.21,第05202101256号,,466,ファミリーマート南風原与那覇店　,098,098-888-5885,,,,南風原町字与那覇１８４－１,沖縄県島尻郡南風原町字与那覇１８４－１,,216408,47,47350,与那覇,,2022/02/21,2022/02/21,,,有限会社知名商事,,098-888-5885  ,,,,,,,,第05202101256号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマト南風原与那覇店098-888-588521640847350,e9de6d90-3a35-45d4-bba0-e01381e75c75,有限会社知名商事,7d8ecfe0-f58f-4f50-add1-77b9e1f54074,d8deb418-7c2e-4e16-8a85-c25a631863af,2022/02/21,ファミリーマート南風原与那覇店　,ファミリマト南風原与那覇店,有限会社知名商事
ちゅふぁーら,,ちゅふぁーら　,南風原町字兼城５７７,２Ｆ,098-889-1121  ,飲食店営業,食堂,光文堂コミュニケーションズ株式会社,098-889-1121  ,R03.12.28,R03.12.28,第05202101104号,,466,ちゅふぁーら　,098,098-889-1121,,,,南風原町字兼城５７７,沖縄県島尻郡南風原町字兼城５７７,２Ｆ,216399,47,47350,兼城,,2021/12/28,2021/12/28,,,光文堂コミュニケーションズ株式会社,,098-889-1121  ,,,,,,,,第05202101104号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ちゅふぁら098-889-112121639947350,b4ed922e-3a3e-4c6e-9656-952d3b156fca,光文堂コミュニケーションズ株式会社,528cefac-97cf-4b82-9d6f-8f0ca3dca33d,84e1d9c4-9a12-48d9-b535-f9a07e921906,2021/12/28,ちゅふぁーら　,ちゅふぁら,光文堂コミュニケーションズ株式会社
フレッシュプラザユニオン仲間店,,フレッシュプラザユニオン仲間店　,浦添市仲間３－３－２,,098-878-7752  ,菓子製造業,菓子製造業,株式会社野嵩商会,098-892-3087  ,R04.01.31,R04.01.31,第05202101199号,,466,フレッシュプラザユニオン仲間店　,098,098-878-7752,,,,浦添市仲間３－３－２,沖縄県浦添市仲間３－３－２,,215681,47,47208,仲間３,,2022/01/31,2022/01/31,,,株式会社野嵩商会,,098-892-3087  ,,,,,,,,第05202101199号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,フレッシュプラザユニオン仲間店098-878-775221568147208,7933b2bb-7f7a-4dc9-bb1e-a3be447fe438,株式会社野嵩商会,0e7148b0-404c-4558-a09b-f0bf808e30cd,ee1d5ed6-76b4-4053-8f7c-3d414012c9a3,2022/01/31,フレッシュプラザユニオン仲間店　,フレッシュプラザユニオン仲間店,株式会社野嵩商会
Ｂａｒ　Ａｚｕｒｅ,,Ｂａｒ　Ａｚｕｒｅ　,与那原町与那原２９９９－１,２０２号,098-975-5376  ,飲食店営業,バー,株式会社勝連板金,098-917-5930  ,R03.12.13,R03.12.13,第05202101062号,,466,Ｂａｒ　Ａｚｕｒｅ　,098,098-975-5376,,,,与那原町与那原２９９９－１,沖縄県島尻郡与那原町与那原２９９９－１,２０２号,216419,47,47348,与那原,,2021/12/13,2021/12/13,,,株式会社勝連板金,,098-917-5930  ,,,,,,,,第05202101062号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢａｒＡｚｕｒｅ098-975-537621641947348,6ac93a95-9d48-41c8-a827-12af6cb1e6d5,株式会社勝連板金,344a920f-c6a8-4f10-935a-a26ff7efb03d,ae9def5d-fcae-46f0-b56f-3abb9b9ed348,2021/12/13,Ｂａｒ　Ａｚｕｒｅ　,ＢａｒＡｚｕｒｅ,株式会社勝連板金
でんすけ商店糸満,,でんすけ商店糸満　,糸満市兼城３６９－８,更庄ビル　１０２,098-987-1161  ,飲食店営業,居酒屋,株式会社ａｔａｒｉ,098-917-6488  ,R03.12.10,R03.12.10,第05202101059号,,466,でんすけ商店糸満　,098,098-987-1161,,,,糸満市兼城３６９－８,沖縄県糸満市兼城３６９－８,更庄ビル　１０２,215821,47,47210,兼城,,2021/12/10,2021/12/10,,,株式会社ａｔａｒｉ,,098-917-6488  ,,,,,,,,第05202101059号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,でんすけ商店糸満098-987-116121582147210,1721583f-77d6-44b5-8420-19ae549f0e53,株式会社ａｔａｒｉ,64705651-c301-42b8-9cec-4d68360b14f5,160c88f9-2123-465a-b1ae-16c167292690,2021/12/10,でんすけ商店糸満　,でんすけ商店糸満,株式会社ａｔａｒｉ
ＬＩＮＫ　本店,,ＬＩＮＫ　本店　,浦添市宮城１－３５－１０　,２Ｆ,              ,飲食店営業,レストラン,株式会社Ｌ’ＯＲＥＡ,098-941-8777  ,R04.02.04,R04.02.04,第05202101216号,,466,ＬＩＮＫ　本店　,098,,,,,浦添市宮城１－３５－１０　,沖縄県浦添市宮城１－３５－１０,２Ｆ,215703,47,47208,宮城１,,2022/02/04,2022/02/04,,,株式会社Ｌ’ＯＲＥＡ,,098-941-8777  ,,,,,,,,第05202101216号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＬＩＮＫ本店21570347208,19629f94-41f3-4a0e-8c09-369a8c3f9a39,株式会社Ｌ＇ＯＲＥＡ,9b438663-b9df-4be3-8ecc-de9af6f0cb98,56578dba-15f2-4130-97f8-71318b15365e,2022/02/04,ＬＩＮＫ　本店　,ＬＩＮＫ本店,株式会社Ｌ＇ＯＲＥＡ
ＬＩＮＫ　浦添店,,ＬＩＮＫ　浦添店　,浦添市宮城１－３６－７,,              ,飲食店営業,レストラン,株式会社Ｌ’ＯＲＥＡ,098-941-8777  ,R04.02.04,R04.02.04,第05202101215号,,466,ＬＩＮＫ　浦添店　,098,,,,,浦添市宮城１－３６－７,沖縄県浦添市宮城１－３６－７,,215703,47,47208,宮城１,,2022/02/04,2022/02/04,,,株式会社Ｌ’ＯＲＥＡ,,098-941-8777  ,,,,,,,,第05202101215号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＬＩＮＫ浦添店21570347208,0a2f16d2-83a2-4fc0-9b15-1f7b69a9a7b0,株式会社Ｌ＇ＯＲＥＡ,9b438663-b9df-4be3-8ecc-de9af6f0cb98,e5e8e9cb-5327-4d97-8f2b-6842f13592ad,2022/02/04,ＬＩＮＫ　浦添店　,ＬＩＮＫ浦添店,株式会社Ｌ＇ＯＲＥＡ
うんてん洋菓子店,,うんてん洋菓子店　,豊見城市字平良７６－１,,              ,菓子製造業,菓子製造業,株式会社note,098-943-2326  ,R03.12.08,R03.12.08,第05202101055号,,466,うんてん洋菓子店　,098,,,,,豊見城市字平良７６－１,沖縄県豊見城市字平良７６－１,,216009,47,47212,平良,,2021/12/08,2021/12/08,,,株式会社note,,098-943-2326  ,,,,,,,,第05202101055号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,うんてん洋菓子店21600947212,61f336f0-1901-4304-8e1a-76fce961c35d,株式会社ｎｏｔｅ,762394e2-4f8b-4eff-a22f-71d832a2d269,fa81ada2-1d48-4ba2-a41c-52f1d866a3d1,2021/12/08,うんてん洋菓子店　,うんてん洋菓子店,株式会社ｎｏｔｅ
うんてん洋菓子店,,うんてん洋菓子店　,豊見城市平良７６－１,,              ,飲食店営業,カフェー,株式会社ｎｏｔｅ,098-943-2326  ,R03.12.14,R03.12.14,第05202101068号,,466,うんてん洋菓子店　,098,,,,,豊見城市平良７６－１,沖縄県豊見城市平良７６－１,,216009,47,47212,平良,,2021/12/14,2021/12/14,,,株式会社ｎｏｔｅ,,098-943-2326  ,,,,,,,,第05202101068号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,うんてん洋菓子店21600947212,61f336f0-1901-4304-8e1a-76fce961c35d,株式会社ｎｏｔｅ,762394e2-4f8b-4eff-a22f-71d832a2d269,f414f554-e91c-482d-9cf0-21673db69fa1,2021/12/14,うんてん洋菓子店　,うんてん洋菓子店,株式会社ｎｏｔｅ
結バル　食材工房,,結バル　食材工房　,浦添市勢理客３－９－１,４－Ｄ,098-943-4091  ,そうざい製造業,そうざい製造業,株式会社結トピア,098-943-4091  ,R04.02.22,R04.02.22,第05202101259号,,466,結バル　食材工房　,098,098-943-4091,,,,浦添市勢理客３－９－１,沖縄県浦添市勢理客３－９－１,４－Ｄ,215667,47,47208,勢理客３,,2022/02/22,2022/02/22,,,株式会社結トピア,,098-943-4091  ,,,,,,,,第05202101259号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,結バル食材工房098-943-409121566747208,79526aa9-e07e-4d9a-a00f-5a4609e1e826,株式会社結トピア,cbf98769-01bb-485d-bd5c-bfd71def6873,7c92650b-099b-4bb4-bc30-dc13224cf820,2022/02/22,結バル　食材工房　,結バル食材工房,株式会社結トピア
結バル　製菓工房,,結バル　製菓工房　,浦添市勢理客３－９－１,４－Ｃ,098-943-4091  ,菓子製造業,菓子製造業,株式会社結トピア,098-943-4091  ,R04.02.22,R04.02.22,第05202101258号,,466,結バル　製菓工房　,098,098-943-4091,,,,浦添市勢理客３－９－１,沖縄県浦添市勢理客３－９－１,４－Ｃ,215667,47,47208,勢理客３,,2022/02/22,2022/02/22,,,株式会社結トピア,,098-943-4091  ,,,,,,,,第05202101258号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,結バル製菓工房098-943-409121566747208,41c0cf2a-2bf5-4743-ba42-2102471fbfe0,株式会社結トピア,cbf98769-01bb-485d-bd5c-bfd71def6873,c2f7f61c-785e-499a-8c46-e1da6f2f5f07,2022/02/22,結バル　製菓工房　,結バル製菓工房,株式会社結トピア
