,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　トリフォリオ 代表取締役　小田 悟,052-332-6101,沙龍,名古屋市東区東桜二丁目１７番４５号　,名古屋市東区東桜２丁目１７番４５号, ,052-684-9876,飲食店営業,2022/7/26,4東保健第1-91号,2022/7/29,2028/11/20,,名古屋市保健所,沙龍,052,052-684-9876,,,,名古屋市東区東桜２丁目１７番４５号,愛知県名古屋市東区東桜２丁目１７番４５号, ,113859,愛知県,名古屋市東区,東桜２,,2022/07/26,,2022/07/29,2028/11/20,株式会社　トリフォリオ ,代表取締役　小田 悟,052-332-6101,,,,,,,,4東保健第1-91号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,沙龍,沙龍,株式会社トリフォリオ　,,1,,,,,
株式会社　トーカン 代表取締役　永津　嘉人,671-2299,東甘堂　SAKUMACHI本店,名古屋市北区大杉一丁目１番１４号　,名古屋市北区大杉１丁目１番１４号, ,325-2390,菓子製造業,2022/7/8,4北保健第1-121号,2022/8/1,2028/8/20,,名古屋市保健所,東甘堂　SAKUMACHI本店,052,052-325-2390,,,,名古屋市北区大杉１丁目１番１４号,愛知県名古屋市北区大杉１丁目１番１４号, ,114211,愛知県,名古屋市北区,大杉１,,2022/07/08,,2022/08/01,2028/08/20,株式会社　トーカン ,代表取締役　永津　嘉人,-671-2299,,,,,,,,4北保健第1-121号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,東甘堂　ＳＡＫＵＭＡＣＨＩ本店,東甘堂ＳＡＫＵＭＡＣＨＩ本店,株式会社トーカン　,,1,,,,,
GURUNG JIBAN,,インドネパール料理　サガルマータ,名古屋市北区元志賀町２丁目１２５番地　,名古屋市北区元志賀町２丁目１２５番地 ,,914-5599,飲食店営業,2022/7/1,4北保健第1-137号,2022/7/21,2028/7/20,,名古屋市保健所,インドネパール料理　サガルマータ,052,052-914-5599,,,,名古屋市北区元志賀町２丁目１２５番地 ,愛知県名古屋市北区元志賀町２丁目１２５番地,,114155,愛知県,名古屋市北区,元志賀町２,,2022/07/01,,2022/07/21,2028/07/20,,GURUNG JIBAN,,,,,,,,,4北保健第1-137号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,インドネパール料理　サガルマータ,インドネパル料理サガルマタ,,,1,,,,,
隠岐　広子,,MOMO CAFE,名古屋市北区平手町２丁目７９番地　,名古屋市北区平手町２丁目７９番地 ,,910-0255,飲食店営業,2022/7/6,4北保健第1-150号,2022/7/21,2028/7/20,,名古屋市保健所,MOMO CAFE,052,052-910-0255,,,,名古屋市北区平手町２丁目７９番地 ,愛知県名古屋市北区平手町２丁目７９番地,,114132,愛知県,名古屋市北区,平手町２,,2022/07/06,,2022/07/21,2028/07/20,,隠岐　広子,,,,,,,,,4北保健第1-150号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＭＯＭＯ　ＣＡＦＥ,ＭＯＭＯＣＡＦＥ,,,1,,,,,
NPO法人　みるみる 理事長　岡田　祝子,938-3602,ワークプレースみるみる,名古屋市北区上飯田南町３丁目２番地　,名古屋市北区上飯田南町３丁目２番地 ,,938-3602,飲食店営業,2022/7/5,4北保健第1-125号,2022/8/1,2028/8/20,,名古屋市保健所,ワークプレースみるみる,052,052-938-3602,,,,名古屋市北区上飯田南町３丁目２番地 ,愛知県名古屋市北区上飯田南町３丁目２番地,,113984,愛知県,名古屋市北区,上飯田南町３,,2022/07/05,,2022/08/01,2028/08/20,NPO法人　みるみる ,理事長　岡田　祝子,-938-3602,,,,,,,,4北保健第1-125号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ワークプレースみるみる,ワクプレスみるみる,ＮＰＯ法人みるみる　,,1,,,,,
鷲見　孝明,,立ち呑み　桜,名古屋市北区金城町３丁目４番地１　,名古屋市北区金城町３丁目４番地１,,911-1114,飲食店営業,2022/7/6,4北保健第1-156号,2022/7/21,2028/7/20,,名古屋市保健所,立ち呑み　桜,052,052-911-1114,,,,名古屋市北区金城町３丁目４番地１,愛知県名古屋市北区金城町３丁目４番地１,,113994,愛知県,名古屋市北区,金城町３,,2022/07/06,,2022/07/21,2028/07/20,,鷲見　孝明,,,,,,,,,4北保健第1-156号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,立ち呑み　桜,立ち呑み桜,,,1,,,,,
有限会社　ステージ 代表取締役　安田　秀和,508-9101,丸与商店,名古屋市北区御成通３丁目２０番地　,名古屋市北区御成通３丁目２０番地 ,,913-0304,そうざい製造業,2022/7/8,4北保健第1-160号,2022/7/21,2028/7/20,,名古屋市保健所,丸与商店,052,052-913-0304,,,,名古屋市北区御成通３丁目２０番地 ,愛知県名古屋市北区御成通３丁目２０番地,,113956,愛知県,名古屋市北区,御成通３,,2022/07/08,,2022/07/21,2028/07/20,有限会社　ステージ ,代表取締役　安田　秀和,-508-9101,,,,,,,,4北保健第1-160号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,丸与商店,丸与商店,有限会社ステージ　,,1,,,,,
株式会社　オールフレンドリー 代表取締役　野々下　勇司,0561-61-1281,ファミリーマート　名古屋オズガーデン店,名古屋市北区大曽根三丁目１２番３２号　B１,名古屋市北区大曽根３丁目１２番３２号, B１,919-6017,飲食店営業,2022/7/8,4北保健第1-153号,2022/7/8,2028/7/20,,名古屋市保健所,ファミリーマート　名古屋オズガーデン店,052,052-919-6017,,,,名古屋市北区大曽根３丁目１２番３２号,愛知県名古屋市北区大曽根３丁目１２番３２号, B１,114216,愛知県,名古屋市北区,大曽根３,,2022/07/08,,2022/07/08,2028/07/20,株式会社　オールフレンドリー ,代表取締役　野々下　勇司,0561-61-1281,,,,,,,,4北保健第1-153号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート　名古屋オズガーデン店,ファミリマト名古屋オズガデン店,株式会社オールフレンドリー　,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
合同会社　勢太 代表社員　太田健一,915-7110,焼肉　勢太,名古屋市北区清水三丁目１１番１９号　,名古屋市北区清水３丁目１１番１９号, ,915-7110,飲食店営業,2022/7/8,4北保健第1-143号,2022/7/21,2028/7/20,,名古屋市保健所,焼肉　勢太,052,052-915-7110,,,,名古屋市北区清水３丁目１１番１９号,愛知県名古屋市北区清水３丁目１１番１９号, ,114193,愛知県,名古屋市北区,清水３,,2022/07/08,,2022/07/21,2028/07/20,合同会社　勢太 ,代表社員　太田健一,-915-7110,,,,,,,,4北保健第1-143号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉　勢太,焼肉勢太,合同会社勢太　,,1,,,,,
株式会社アミライズ　 代表取締役　桑山　晃嗣,734-2340,アミライズ キッチン,名古屋市北区東味鋺一丁目２６０３番地　Grigio Ａ号,名古屋市北区東味鋺１丁目２６０３番地,Grigio Ａ号,,飲食店営業,2022/7/11,4北保健第1-140号,2022/7/15,2028/7/20,,名古屋市保健所,アミライズ キッチン,052,,,,,名古屋市北区東味鋺１丁目２６０３番地,愛知県名古屋市北区東味鋺１丁目２６０３番地,Grigio Ａ号,114245,愛知県,名古屋市北区,東味鋺１,,2022/07/11,,2022/07/15,2028/07/20,株式会社アミライズ　 ,代表取締役　桑山　晃嗣,-734-2340,,,,,,,,4北保健第1-140号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,アミライズ　キッチン,アミライズキッチン,株式会社アミライズ　,,2,,,,,
株式会社アミライズ　 代表取締役　桑山　晃嗣,734-2340,アミライズ キッチン,名古屋市北区東味鋺一丁目２６０３番地　Grigio Ａ号,名古屋市北区東味鋺１丁目２６０３番地,Grigio Ａ号,,菓子製造業,2022/7/11,4北保健第1-141号,2022/7/15,2028/7/20,,名古屋市保健所,アミライズ キッチン,052,,,,,名古屋市北区東味鋺１丁目２６０３番地,愛知県名古屋市北区東味鋺１丁目２６０３番地,Grigio Ａ号,114245,愛知県,名古屋市北区,東味鋺１,,2022/07/11,,2022/07/15,2028/07/20,株式会社アミライズ　 ,代表取締役　桑山　晃嗣,-734-2340,,,,,,,,4北保健第1-141号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,アミライズ　キッチン,アミライズキッチン,株式会社アミライズ　,,2,,,,,
野上　浩,,焼肉日和,名古屋市北区上飯田東町１丁目８５番地　,名古屋市北区上飯田東町１丁目８５番地 ,,913-2988,飲食店営業,2022/7/12,4北保健第1-155号,2022/7/21,2028/7/20,,名古屋市保健所,焼肉日和,052,052-913-2988,,,,名古屋市北区上飯田東町１丁目８５番地 ,愛知県名古屋市北区上飯田東町１丁目８５番地,,113977,愛知県,名古屋市北区,上飯田東町１,,2022/07/12,,2022/07/21,2028/07/20,,野上　浩,,,,,,,,,4北保健第1-155号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉日和,焼肉日和,,,1,,,,,
HIDAKA FE DELANTAR,,Friends　Rest　Snack　Bar,名古屋市北区萩野通２丁目１７番地の１　フォレスト萩野通１F　A,名古屋市北区萩野通２丁目１７番地の１,フォレスト萩野通１F A,,飲食店営業,2022/7/12,4北保健第1-165号,2022/7/15,2028/7/20,,名古屋市保健所,Friends　Rest　Snack　Bar,052,,,,,名古屋市北区萩野通２丁目１７番地の１,愛知県名古屋市北区萩野通２丁目１７番地ノ１,フォレスト萩野通１F A,114113,愛知県,名古屋市北区,萩野通２,,2022/07/12,,2022/07/15,2028/07/20,,HIDAKA FE DELANTAR,,,,,,,,,4北保健第1-165号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｆｒｉｅｎｄｓ　Ｒｅｓｔ　Ｓｎａｃｋ　Ｂａｒ,ＦｒｉｅｎｄｓＲｅｓｔＳｎａｃｋＢａｒ,,,1,,,,,
久間田　直,,郡八　北区中切店,名古屋市北区中切町４丁目６２番地　,名古屋市北区中切町４丁目６２番地 ,,,飲食店営業,2022/7/13,4北保健第1-161号,2022/7/15,2028/7/20,,名古屋市保健所,郡八　北区中切店,052,,,,,名古屋市北区中切町４丁目６２番地 ,愛知県名古屋市北区中切町４丁目６２番地,,114090,愛知県,名古屋市北区,中切町４,,2022/07/13,,2022/07/15,2028/07/20,,久間田　直,,,,,,,,,4北保健第1-161号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,郡八　北区中切店,郡八北区中切店,,,1,,,,,
株式会社　タナカ 代表取締役　田中　千尋,912-6664,株式会社　タナカ　焼菓子研究所,名古屋市北区上飯田西町２丁目４８番地の４　,名古屋市北区上飯田西町２丁目４８番地の４,,982-7758,菓子製造業,2022/7/14,4北保健第1-56号,2022/7/14,2029/7/20,,名古屋市保健所,株式会社　タナカ　焼菓子研究所,052,052-982-7758,,,,名古屋市北区上飯田西町２丁目４８番地の４,愛知県名古屋市北区上飯田西町２丁目４８番地ノ４,,113975,愛知県,名古屋市北区,上飯田西町２,,2022/07/14,,2022/07/14,2029/07/20,株式会社　タナカ ,代表取締役　田中　千尋,-912-6664,,,,,,,,4北保健第1-56号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社タナカ　焼菓子研究所,株式会社タナカ焼菓子研究所,株式会社タナカ　,,1,,,,,
株式会社　白川殿 代表取締役　大嶋　耐之,916-3321,白川会館　花音,名古屋市北区山田一丁目６番３５号　,名古屋市北区山田１丁目６番３５号, ,916-3321,飲食店営業,2022/7/14,4北保健第1-106号,2022/7/20,2028/7/20,,名古屋市保健所,白川会館　花音,052,052-916-3321,,,,名古屋市北区山田１丁目６番３５号,愛知県名古屋市北区山田１丁目６番３５号, ,114250,愛知県,名古屋市北区,山田１,,2022/07/14,,2022/07/20,2028/07/20,株式会社　白川殿 ,代表取締役　大嶋　耐之,-916-3321,,,,,,,,4北保健第1-106号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,白川会館　花音,白川会館花音,株式会社白川殿　,,1,,,,,
株式会社　やぶやグループ 代表取締役　横瀬　武夫,583-9828,やぶ屋　大曽根オズワンビル店,名古屋市北区大曽根三丁目１４番３８号　Food　Forest　OZ-One 2F,名古屋市北区大曽根３丁目１４番３８号,Food Forest OZ－One ２F,912-9828,飲食店営業,2022/7/14,4北保健第1-164号,2022/7/21,2028/7/20,,名古屋市保健所,やぶ屋　大曽根オズワンビル店,052,052-912-9828,,,,名古屋市北区大曽根３丁目１４番３８号,愛知県名古屋市北区大曽根３丁目１４番３８号,Food Forest OZ－One ２F,114216,愛知県,名古屋市北区,大曽根３,,2022/07/14,,2022/07/21,2028/07/20,株式会社　やぶやグループ ,代表取締役　横瀬　武夫,-583-9828,,,,,,,,4北保健第1-164号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,やぶ屋　大曽根オズワンビル店,やぶ屋大曽根オズワンビル店,株式会社やぶやグループ　,,1,,,,,
玉井　広輝,,Aegis （イージス）,名古屋市北区山田一丁目１０番５４号　ハートイン大曽根　２B,名古屋市北区山田１丁目１０番５４号,ハートイン大曽根 ２B,,飲食店営業,2022/7/15,4北保健第1-159号,2022/8/1,2028/8/20,,名古屋市保健所,Aegis （イージス）,052,,,,,名古屋市北区山田１丁目１０番５４号,愛知県名古屋市北区山田１丁目１０番５４号,ハートイン大曽根 ２B,114250,愛知県,名古屋市北区,山田１,,2022/07/15,,2022/08/01,2028/08/20,,玉井　広輝,,,,,,,,,4北保健第1-159号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｅｇｉｓ　（イージス）,Ａｅｇｉｓイジス,,,1,,,,,
永谷　彰浩,,MARU,名古屋市北区瑠璃光町１丁目１０番地の６　,名古屋市北区瑠璃光町１丁目１０番地の６,,,飲食店営業,2022/7/20,4北保健第1-58号,2022/7/22,2028/8/20,,名古屋市保健所,MARU,052,,,,,名古屋市北区瑠璃光町１丁目１０番地の６,愛知県名古屋市北区瑠璃光町１丁目１０番地ノ６,,114166,愛知県,名古屋市北区,瑠璃光町１,,2022/07/20,,2022/07/22,2028/08/20,,永谷　彰浩,,,,,,,,,4北保健第1-58号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＭＡＲＵ,ＭＡＲＵ,,,1,,,,,
