https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-033528,瀬生第8406,株式会社すかいらーくレストランツ,,横浜市瀬谷区三ツ境164-2,横浜市瀬谷区三ツ境１６４－２,,ガスト 三ツ境店 ,3691139,その他の食料・飲料販売業,,2021年11月9日,2117年12月31日,2021年11月9日,,141,ガスト 三ツ境店 ,045,045-369-1139,,,,横浜市瀬谷区三ツ境１６４－２,神奈川県横浜市瀬谷区三ツ境１６４－２,,79561,14,14114,三ツ境,,2021/11/09,2021/11/09,,2117/12/31,株式会社すかいらーくレストランツ,,,,,,,,,,瀬生第8406,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ガスト三ツ境店045-369-11397956114114,7b0255c6-2775-41af-8b00-bed96c67370e,株式会社すかいらーくレストランツ,5b4b8cde-144d-4275-b229-04b8e1f0af34,55afe602-56f3-4aed-b1c8-771b729c4c49,2021/11/09,ガスト　三ツ境店　,ガスト三ツ境店,株式会社すかいらーくレストランツ
91-033529,瀬生第8407,株式会社すかいらーくレストランツ,,横浜市瀬谷区橋戸2-27-8,横浜市瀬谷区橋戸２－２７－８,,夢庵 瀬谷店 ,3041213,その他の食料・飲料販売業,,2021年11月9日,2117年12月31日,2021年11月9日,,141,夢庵 瀬谷店 ,045,045-304-1213,,,,横浜市瀬谷区橋戸２－２７－８,神奈川県横浜市瀬谷区橋戸２－２７－８,,79577,14,14114,橋戸２,,2021/11/09,2021/11/09,,2117/12/31,株式会社すかいらーくレストランツ,,,,,,,,,,瀬生第8407,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,夢庵瀬谷店045-304-12137957714114,f457aafc-d011-4367-a264-81bd9baa5c5e,株式会社すかいらーくレストランツ,5b4b8cde-144d-4275-b229-04b8e1f0af34,c540ab63-b380-4178-8226-f876e68ad07f,2021/11/09,夢庵　瀬谷店　,夢庵瀬谷店,株式会社すかいらーくレストランツ
91-033530,瀬生第8408,小島量為株式会社,,横浜市瀬谷区南瀬谷2-1-1,横浜市瀬谷区南瀬谷２－１－１,,ローソン南瀬谷二丁目店 ,3030353,コンビニエンスストア,,2021年11月17日,2117年12月31日,2021年11月17日,,141,ローソン南瀬谷二丁目店 ,045,045-303-0353,,,,横浜市瀬谷区南瀬谷２－１－１,神奈川県横浜市瀬谷区南瀬谷２－１－１,,79570,14,14114,南瀬谷２,,2021/11/17,2021/11/17,,2117/12/31,小島量為株式会社,,,,,,,,,,瀬生第8408,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソン南瀬谷二丁目店045-303-03537957014114,1fafe592-ac5a-45d9-9660-39150176bc7f,小島量為株式会社,ef41cdb5-4b15-4abd-9e57-36dac560cda0,0fef1c81-f3b7-4e15-bc54-55da91eec38e,2021/11/17,ローソン南瀬谷二丁目店　,ロソン南瀬谷二丁目店,小島量為株式会社
91-033531,瀬生第8412,株式会社ちよだ鮨,,横浜市瀬谷区中央1-4,横浜市瀬谷区中央１－４,,ちよだ鮨　スマイルストリート瀬谷店 ,3006560,その他の食料・飲料販売業,持ち帰りすし,2021年11月2日,2117年12月31日,2021年11月2日,,141,ちよだ鮨　スマイルストリート瀬谷店 ,045,045-300-6560,,,,横浜市瀬谷区中央１－４,神奈川県横浜市瀬谷区中央１－４,,79593,14,14114,中央,,2021/11/02,2021/11/02,,2117/12/31,株式会社ちよだ鮨,,,,,,,,,,瀬生第8412,,その他の食料品製造・加工業,(包装) 持ち帰りすし,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ちよだ鮨スマイルストリト瀬谷店045-300-65607959314114,93c38615-753f-4f8c-a42c-0e4ba559ac77,株式会社ちよだ鮨,9a285275-b650-45de-a920-79aebad197ab,544c80f2-f969-4d50-b2dc-3c9964027c4a,2021/11/02,ちよだ鮨　スマイルストリート瀬谷店　,ちよだ鮨スマイルストリト瀬谷店,株式会社ちよだ鮨
91-033532,瀬生第8413,株式会社フロジャポン,,横浜市瀬谷区三ツ境2-19 相鉄ライフ三ツ境 2F,横浜市瀬谷区三ツ境２－１９,相鉄ライフ三ツ境 ２F,フロプレステージュ 相鉄ライフ三ツ境店 ,3645791,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,フロプレステージュ 相鉄ライフ三ツ境店 ,045,045-364-5791,,,,横浜市瀬谷区三ツ境２－１９,神奈川県横浜市瀬谷区三ツ境２－１９,相鉄ライフ三ツ境 ２F,79561,14,14114,三ツ境,,2021/11/12,2021/11/12,,2117/12/31,株式会社フロジャポン,,,,,,,,,,瀬生第8413,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,フロプレステジュ相鉄ライフ三ツ境店045-364-57917956114114,db0e3e22-9faf-4324-bf79-a110aaddba62,株式会社フロジャポン,ccc59208-f756-4213-8f14-136ba4c4bb90,9a95e685-0c7e-4460-97e0-75a9a9fba453,2021/11/12,フロプレステージュ　相鉄ライフ三ツ境店　,フロプレステジュ相鉄ライフ三ツ境店,株式会社フロジャポン
91-033533,瀬生第8414,株式会社京阪ザ・ストア,,横浜市瀬谷区三ツ境4 相鉄三ツ境駅構内2F,横浜市瀬谷区三ツ境４,相鉄三ツ境駅構内２F,SWEETS BOX相鉄ライフ三ツ境店 ,4538001,その他の食料・飲料販売業,食品催事（週替り物販店舗）,2021年11月12日,2117年12月31日,2021年11月12日,,141,SWEETS BOX相鉄ライフ三ツ境店 ,045,045-453-8001,,,,横浜市瀬谷区三ツ境４,神奈川県横浜市瀬谷区三ツ境４,相鉄三ツ境駅構内２F,79561,14,14114,三ツ境,,2021/11/12,2021/11/12,,2117/12/31,株式会社京阪ザ・ストア,,,,,,,,,,瀬生第8414,,その他の食料品製造・加工業,(包装) 食品催事（週替り物販店舗）,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ＳＷＥＥＴＳＢＯＸ相鉄ライフ三ツ境店045-453-80017956114114,b472b427-757f-4ae0-ac46-6c819c95508d,株式会社京阪ザ・ストア,2110ba33-01cd-40fc-b952-49bf6fb2d537,a6c16430-8715-4e99-bec6-fb4793ab6c20,2021/11/12,ＳＷＥＥＴＳ　ＢＯＸ相鉄ライフ三ツ境店　,ＳＷＥＥＴＳＢＯＸ相鉄ライフ三ツ境店,株式会社京阪ザ・ストア
91-033534,瀬生第8415,社会福祉法人　合掌苑,,横浜市瀬谷区五貫目町10-38,横浜市瀬谷区五貫目町１０－３８,,輝の杜 ,9200840,集団給食施設,,2021年11月7日,2117年12月31日,2021年11月7日,,141,輝の杜 ,045,045-920-0840,,,,横浜市瀬谷区五貫目町１０－３８,神奈川県横浜市瀬谷区五貫目町１０－３８,,79550,14,14114,五貫目町,,2021/11/07,2021/11/07,,2117/12/31,社会福祉法人　合掌苑,,,,,,,,,,瀬生第8415,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,輝の杜045-920-08407955014114,7a7a9d01-b8f5-4187-85ed-e67d94d8d943,社会福祉法人合掌苑,d7f07f76-7fa0-434f-9127-c2b96a6527a9,2eaf7d8f-b303-42e1-92ba-398b559253b8,2021/11/07,輝の杜　,輝の杜,社会福祉法人合掌苑
91-033535,瀬生第8416,ＡＬＳＯＫ介護株式会社,,横浜市瀬谷区上瀬谷町56-4,横浜市瀬谷区上瀬谷町５６－４,,グループホームみんなの家・横浜上瀬谷 ,9202031,集団給食施設,,2021年11月8日,2117年12月31日,2021年11月8日,,141,グループホームみんなの家・横浜上瀬谷 ,045,045-920-2031,,,,横浜市瀬谷区上瀬谷町５６－４,神奈川県横浜市瀬谷区上瀬谷町５６－４,,79548,14,14114,上瀬谷町,,2021/11/08,2021/11/08,,2117/12/31,ＡＬＳＯＫ介護株式会社,,,,,,,,,,瀬生第8416,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,グルプホムみんなの家横浜上瀬谷045-920-20317954814114,4366ab88-a82e-47c0-9c62-2bdc607f6568,ＡＬＳＯＫ介護株式会社,af942828-63db-4da0-881e-1a3de69be85c,4c9016f0-84a2-4cae-a4b7-a4acb92dd2b2,2021/11/08,グループホームみんなの家・横浜上瀬谷　,グルプホムみんなの家横浜上瀬谷,ＡＬＳＯＫ介護株式会社
91-033536,瀬生第8417,株式会社　伸和,,横浜市瀬谷区中央7-35,横浜市瀬谷区中央７－３５,,ファミリーマート瀬谷中央店 ,3003027,コンビニエンスストア,,2021年11月18日,2117年12月31日,2021年11月18日,,141,ファミリーマート瀬谷中央店 ,045,045-300-3027,,,,横浜市瀬谷区中央７－３５,神奈川県横浜市瀬谷区中央７－３５,,79593,14,14114,中央,,2021/11/18,2021/11/18,,2117/12/31,株式会社　伸和,,,,,,,,,,瀬生第8417,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト瀬谷中央店045-300-30277959314114,00141_08d3b354-45a0-499d-9ac0-812d1c3344ae,株式会社伸和,39c2b12b-8f16-440d-966e-f87fdc777443,9dc8ce67-b3a5-433f-9d6f-0fd93626abb4,2021/11/18,ファミリーマート瀬谷中央店　,ファミリマト瀬谷中央店,株式会社伸和
91-033537,瀬生第8423,ＡＬＳＯＫ介護株式会社,,横浜市瀬谷区中屋敷2-6-15,横浜市瀬谷区中屋敷２－６－１５,,グループホームみんなの家・横浜瀬谷 ,3060630,集団給食施設,,2021年11月8日,2117年12月31日,2021年11月8日,,141,グループホームみんなの家・横浜瀬谷 ,045,045-306-0630,,,,横浜市瀬谷区中屋敷２－６－１５,神奈川県横浜市瀬谷区中屋敷２－６－１５,,79554,14,14114,中屋敷２,,2021/11/08,2021/11/08,,2117/12/31,ＡＬＳＯＫ介護株式会社,,,,,,,,,,瀬生第8423,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,グルプホムみんなの家横浜瀬谷045-306-06307955414114,146d935d-d4b2-49d5-a585-d1ef16918acf,ＡＬＳＯＫ介護株式会社,af942828-63db-4da0-881e-1a3de69be85c,1b11f8d9-4951-406f-9eb5-d693a99a46c8,2021/11/08,グループホームみんなの家・横浜瀬谷　,グルプホムみんなの家横浜瀬谷,ＡＬＳＯＫ介護株式会社
91-033538,瀬生第8425,,宮田 玲子,横浜市瀬谷区橋戸1-17-2,横浜市瀬谷区橋戸１－１７－２,,宮田商店 ,3031234,その他の食料・飲料販売業,,2021年11月19日,2117年12月31日,2021年11月19日,,141,宮田商店 ,045,045-303-1234,,,,横浜市瀬谷区橋戸１－１７－２,神奈川県横浜市瀬谷区橋戸１－１７－２,,79576,14,14114,橋戸１,,2021/11/19,2021/11/19,,2117/12/31,,宮田 玲子,,,,,,,,,瀬生第8425,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,宮田商店045-303-12347957614114,9fbc2ca1-9f67-4a61-b1ac-061b633fbfd7,,personal,7e01e5cf-01b1-4c4e-9fcd-b46fbe420b0f,2021/11/19,宮田商店　,宮田商店,
91-033539,瀬生指令第82,,小山 由紀,横浜市瀬谷区南台1-34-7,横浜市瀬谷区南台１－３４－７,,ＧＯＬＤ　ＢＡＬ　７８８ ,,飲食店営業,,2021年11月22日,2028年11月21日,2021年11月22日,,141,ＧＯＬＤ　ＢＡＬ　７８８ ,045,,,,,横浜市瀬谷区南台１－３４－７,神奈川県横浜市瀬谷区南台１－３４－７,,79571,14,14114,南台１,,2021/11/22,2021/11/22,,2028/11/21,,小山 由紀,,,,,,,,,瀬生指令第82,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ＧＯＬＤＢＡＬ７８８7957114114,5527de7e-952b-4b2b-ba21-079f836d719e,,personal,1208ea27-dbb4-4805-8221-4de882a46738,2021/11/22,ＧＯＬＤ　ＢＡＬ　７８８　,ＧＯＬＤＢＡＬ７８８,
91-033540,瀬生第8426,ALSOK介護株式会社,,横浜市瀬谷区宮沢4-5-12,横浜市瀬谷区宮沢４－５－１２,,グループホームみんなの家・横浜宮沢2 ,3003550,集団給食施設,,2021年11月11日,2117年12月31日,2021年11月11日,,141,グループホームみんなの家・横浜宮沢2 ,045,045-300-3550,,,,横浜市瀬谷区宮沢４－５－１２,神奈川県横浜市瀬谷区宮沢４－５－１２,,79565,14,14114,宮沢４,,2021/11/11,2021/11/11,,2117/12/31,ALSOK介護株式会社,,,,,,,,,,瀬生第8426,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,グルプホムみんなの家横浜宮沢２045-300-35507956514114,cfdde9d6-5d1a-4ab7-9108-720e308200ea,ＡＬＳＯＫ介護株式会社,af942828-63db-4da0-881e-1a3de69be85c,b17f50ea-3f5e-4cb0-8b54-ba76eaee2811,2021/11/11,グループホームみんなの家・横浜宮沢２　,グルプホムみんなの家横浜宮沢２,ＡＬＳＯＫ介護株式会社
91-033541,瀬生第8427,ALSOK介護株式会社,,横浜市瀬谷区宮沢4-28-8,横浜市瀬谷区宮沢４－２８－８,,グループホームみんなの家・横浜宮沢３ ,3005560,集団給食施設,,2021年11月11日,2117年12月31日,2021年11月11日,,141,グループホームみんなの家・横浜宮沢３ ,045,045-300-5560,,,,横浜市瀬谷区宮沢４－２８－８,神奈川県横浜市瀬谷区宮沢４－２８－８,,79565,14,14114,宮沢４,,2021/11/11,2021/11/11,,2117/12/31,ALSOK介護株式会社,,,,,,,,,,瀬生第8427,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,グルプホムみんなの家横浜宮沢３045-300-55607956514114,ef196823-6f3e-4a90-b310-b14e87a540e5,ＡＬＳＯＫ介護株式会社,af942828-63db-4da0-881e-1a3de69be85c,c13f8b19-563a-45d4-b499-6c0d85cab05d,2021/11/11,グループホームみんなの家・横浜宮沢３　,グルプホムみんなの家横浜宮沢３,ＡＬＳＯＫ介護株式会社
91-033542,瀬生第8428,神奈川県,,横浜市瀬谷区竹村町28-1,横浜市瀬谷区竹村町２８－１,,神奈川県立瀬谷養護学校 ,3021616,集団給食施設,学校給食施設,2021年11月11日,2117年12月31日,2021年11月11日,,141,神奈川県立瀬谷養護学校 ,045,045-302-1616,,,,横浜市瀬谷区竹村町２８－１,神奈川県横浜市瀬谷区竹村町２８－１,,79552,14,14114,竹村町,,2021/11/11,2021/11/11,,2117/12/31,,神奈川県 ,,,,,,,,,瀬生第8428,,給食施設, 学校給食施設,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,神奈川県立瀬谷養護学校045-302-16167955214114,464e5596-d86a-411c-bc9d-944492a20980,,personal,01a99afe-a02a-4ffd-8900-4fa829da71ea,2021/11/11,神奈川県立瀬谷養護学校　,神奈川県立瀬谷養護学校,
91-033543,瀬生第8436,横浜市,,横浜市瀬谷区下瀬谷3-58-1,横浜市瀬谷区下瀬谷３－５８－１,,横浜市立瀬谷さくら小学校 ,3033803,集団給食施設,,2021年11月12日,2117年12月31日,2021年11月12日,,141,横浜市立瀬谷さくら小学校 ,045,045-303-3803,,,,横浜市瀬谷区下瀬谷３－５８－１,神奈川県横浜市瀬谷区下瀬谷３－５８－１,,79575,14,14114,下瀬谷３,,2021/11/12,2021/11/12,,2117/12/31,,横浜市 ,,,,,,,,,瀬生第8436,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,横浜市立瀬谷さくら小学校045-303-38037957514114,be7d1244-7698-47f6-886d-c4db5ffe7511,,personal,c144efac-61a4-42a8-ac0c-ecb1c59f55d8,2021/11/12,横浜市立瀬谷さくら小学校　,横浜市立瀬谷さくら小学校,
91-033544,瀬生第8429,合同会社　スフィア,,横浜市瀬谷区北町3-12,横浜市瀬谷区北町３－１２,,ファミリーマート瀬谷北町店 ,9240935,コンビニエンスストア,,2021年11月19日,2117年12月31日,2021年11月19日,,141,ファミリーマート瀬谷北町店 ,045,045-924-0935,,,,横浜市瀬谷区北町３－１２,神奈川県横浜市瀬谷区北町３－１２,,79549,14,14114,北町,,2021/11/19,2021/11/19,,2117/12/31,合同会社　スフィア,,,,,,,,,,瀬生第8429,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト瀬谷北町店045-924-09357954914114,00141_2cba4e39-9e52-492a-a8b0-6cf6a535fd1e,合同会社スフィア,dddf68cb-105e-4499-b96e-11150ac7f4a7,2057be81-8e0a-44c0-b5a3-30a2d02695d3,2021/11/19,ファミリーマート瀬谷北町店　,ファミリマト瀬谷北町店,合同会社スフィア
91-033545,瀬生第8437,日本ケンタッキー・フライド・チキン株式会社,,横浜市瀬谷区三ツ境2-19,横浜市瀬谷区三ツ境２－１９,,ケンタッキー・フライド・チキン三ツ境 ,3691373,その他の食料・飲料販売業,飲食業,2021年11月11日,2117年12月31日,2021年11月11日,,141,ケンタッキー・フライド・チキン三ツ境 ,045,045-369-1373,,,,横浜市瀬谷区三ツ境２－１９,神奈川県横浜市瀬谷区三ツ境２－１９,,79561,14,14114,三ツ境,,2021/11/11,2021/11/11,,2117/12/31,日本ケンタッキー・フライド・チキン株式会社,,,,,,,,,,瀬生第8437,,その他の食料品製造・加工業,(包装) 飲食業,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ケンタッキフライドチキン三ツ境045-369-13737956114114,6d4d73e9-8569-4ebe-9ae7-c9876eb49422,日本ケンタッキー・フライド・チキン株式会社,1a636ec6-a347-44c2-850f-d92bc864cbf1,6366e933-8c4e-4c84-88b6-6392a9e6e42a,2021/11/11,ケンタッキーフライドチキン三ツ境　,ケンタッキフライドチキン三ツ境,日本ケンタッキー・フライド・チキン株式会社
